figure_id,title,caption,word_count,category
mechanism-comparability-parity,Comparability Parity,"This map shows 6 distinct documented comparability parity implementation events across 6 municipalities in 5 states. Compensation linked to comparison with another role, unit, or jurisdiction. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,mechanism
mechanism-contract-ratification,Contract Ratification,"This map shows 9 distinct documented contract ratification implementation events across 9 municipalities in 6 states. Formal approval of negotiated contract terms by the relevant parties. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,mechanism
mechanism-fiscal-constraint,Fiscal Constraint,"This map shows 619 distinct documented fiscal constraint implementation events across 395 municipalities in 33 states. Budget pressure or limited fiscal capacity that constrained compensation choices. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,mechanism
mechanism-holiday-pay,Holiday Pay,"This map shows 22 distinct documented holiday pay implementation events across 19 municipalities in 9 states. Premium or additional compensation for holidays. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",55,mechanism
mechanism-inflation-indexing,Inflation Indexing,"This map shows 31 distinct documented inflation indexing implementation events across 22 municipalities in 8 states. A compensation rule explicitly linked to inflation or an index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,mechanism
mechanism-interest-arbitration,Interest Arbitration,"I found 1 documented interest arbitration implementation event across 1 municipality in 1 state. A neutral decision process that resolves bargaining impasses over contract terms. The evidence is too sparse for a density pattern, so I show the exact locations instead. This establishes that the mechanism appears in the retained evidence; it does not show how common it is or how much it changed wages.",65,mechanism
mechanism-longevity,Longevity,"This map shows 40 distinct documented longevity implementation events across 35 municipalities in 13 states. Additional compensation tied to years of service. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",55,mechanism
mechanism-lump-sum,Lump Sum,"This map shows 18 distinct documented lump sum implementation events across 16 municipalities in 6 states. A single lump-sum payment rather than a recurring wage-rate increase. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,mechanism
mechanism-market-recruitment-retention,Market Recruitment Retention,"This map shows 44 distinct documented market recruitment retention implementation events across 35 municipalities in 16 states. Pay action justified by labor-market competition, hiring, or retention pressure. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,mechanism
mechanism-no-direct-compensation-outcome,No Direct Compensation Outcome,"This map shows 544 distinct documented no direct compensation outcome implementation events across 375 municipalities in 28 states. A documented administrative event without a direct pay outcome in the retained evidence. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",64,mechanism
mechanism-non-base-compensation-other,Non Base Compensation Other,"This map shows 292 distinct documented non base compensation other implementation events across 195 municipalities in 18 states. Compensation outside regular base wages that did not fit a more specific category. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",64,mechanism
mechanism-none-identified,None Identified,"This map shows 3,694 distinct documented none identified implementation events across 1,156 municipalities in 42 states. No specific compensation mechanism was identified in the retained event record. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,mechanism
mechanism-one-time,One Time,"This map shows 299 distinct documented one time implementation events across 242 municipalities in 25 states. A payment or adjustment that does not recur in the regular base schedule. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,mechanism
mechanism-ordinance-adoption,Ordinance Adoption,"This map shows 206 distinct documented ordinance adoption implementation events across 188 municipalities in 35 states. Formal adoption of compensation terms through an ordinance. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",57,mechanism
mechanism-ordinance-council-adoption,Ordinance Council Adoption,"This map shows 255 distinct documented ordinance council adoption implementation events across 221 municipalities in 33 states. A council or ordinance action formally approving a compensation change. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,mechanism
mechanism-overtime,Overtime,"This map shows 38 distinct documented overtime implementation events across 36 municipalities in 15 states. Compensation for hours or duties beyond regular schedules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",56,mechanism
mechanism-payroll-effective-date,Payroll Effective Date,"This map shows 1,876 distinct documented payroll effective date implementation events across 1,119 municipalities in 42 states. The date a compensation change became operative in payroll administration. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,mechanism
mechanism-recurring,Recurring,"This map shows 720 distinct documented recurring implementation events across 515 municipalities in 35 states. A compensation component that continues rather than ending after one payment. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,mechanism
mechanism-reimbursement,Reimbursement,"This map shows 7 distinct documented reimbursement implementation events across 6 municipalities in 4 states. Repayment of eligible work-related expenses rather than ordinary wages. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",57,mechanism
mechanism-retroactive-pay,Retroactive Pay,"This map shows 1,418 distinct documented retroactive pay implementation events across 922 municipalities in 42 states. Back pay issued after a compensation term took effect or was settled. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,mechanism
mechanism-retroactive,Retroactive,"This map shows 1,418 distinct documented retroactive implementation events across 922 municipalities in 42 states. A compensation change applied to an earlier effective period. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",58,mechanism
mechanism-salary-range-change,Salary Range Change,"This map shows 12 distinct documented salary range change implementation events across 12 municipalities in 5 states. A change to the minimum, maximum, or span of a salary range. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,mechanism
mechanism-settlement-or-mou,Settlement Or MOU,"This map shows 58 distinct documented settlement or mou implementation events across 48 municipalities in 19 states. A settlement or memorandum of understanding that changed compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,mechanism
mechanism-step-progression,Step Progression,"This map shows 87 distinct documented step progression implementation events across 74 municipalities in 18 states. Movement through a salary schedule based on steps, service, rank, or progression rules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,mechanism
mechanism-stipend-or-premium,Stipend Or Premium,"This map shows 62 distinct documented stipend or premium implementation events across 52 municipalities in 15 states. A supplemental payment for assignments, qualifications, shifts, or special duties. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,mechanism
mechanism-unclear,Unclear,"This map shows 140 distinct documented unclear implementation events across 127 municipalities in 19 states. The retained evidence points to a compensation event but does not identify the mechanism clearly. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",63,mechanism
mechanism-uniform-or-equipment-allowance,Uniform Or Equipment Allowance,"This map shows 68 distinct documented uniform or equipment allowance implementation events across 56 municipalities in 13 states. A payment for required uniforms, equipment, maintenance, or related costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,mechanism
mechanism-vacancy-pressure,Vacancy Pressure,"This map shows 8 distinct documented vacancy pressure implementation events across 8 municipalities in 4 states. Unfilled positions or vacancy conditions cited in compensation or staffing decisions. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,mechanism
