state,city,source_role,occupation_class_candidate,source_type_candidate,candidate_title,candidate_url,source_owner,expected_years,causal_candidate,matched_triad_value,claim_ids_served,hypotheses_served,expected_text_quality,access_notes,selection_priority,followup_status,provenance_confidence,notes
Pennsylvania,Reading,non_safety_general,library,cba,Reading Public Library CBA -- reconfirmed direct PDF,https://www.readingpa.gov/images/reading_library/Contract_-_BSI_Library_Elect%20Reading%20Public%20Library.pdf,city_readingpa_gov,unknown,yes,medium,CLM-2026-07-12-05,H3;H8,clean,Unchanged from pilot scan.,ingest_next,confirmed,high,No change from pa_nj_candidate_sources_2026-07-12.csv; reconfirmed this follow-up.
New Jersey,Newark,police,police,context_only,"Newark PBA / Superior Officers Association -- extensive PERC decision history confirms very active units (2019-2025), no direct CBA PDF found",https://perc.state.nj.us/percdecisions.nsf/2d493b97f53d77528525707d004e9f58/e9380bc3813fd7d185256cb4006d998b,state_labor_board_perc,"multiple recent disputes 2019-2025, underlying CBA years not confirmed",maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,"This follow-up found at least 6 distinct PERC decisions (2019-21, 2022-34, 2025-1, 2025-8, 2025-10, IR-2025-2, DUP-2025-3) involving the Newark PBA/Superior Officers Association, confirming both units are highly active and well-documented in PERC's decision archive -- but a direct collective negotiations agreement PDF (as opposed to a dispute decision) was still not located via search-engine indexing.",needs_review,partially_confirmed,medium,"Recommend directly browsing perc.state.nj.us/publicsectorcontracts.nsf by employer name 'Newark' rather than search-engine site: queries, which surface decisions more readily than contracts."
New Jersey,Newark,fire,fire,context_only,"Newark Firefighters Union / Fire Officers Local 1860 -- reconfirmed via PERC index entry, no new direct PDF",https://www.perc.state.nj.us/publicsectorcontracts.nsf/e8bdc0fc8b79520c85256f4d005df32f/d980a598b888965e85257dd300670878?OpenDocument,state_labor_board_perc,unknown,maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,unknown,No change from pilot scan.,needs_review,not_found,medium,No new information this follow-up round; same PERC index entry as pa_nj_candidate_sources_2026-07-12.csv.
New Jersey,Newark,non_safety_general,other,cba,City of Newark and IBT Local 97 CBA (2020) -- reconfirmed direct PDF,https://www.perc.state.nj.us/publicsectorcontracts.nsf/641fe7725638ef00852578c6006e3dcf/76c9399ef546e28f85258ac50051a22a/$FILE/Newark%20and%20IBT%20Loc%2097%202020.pdf,state_labor_board_perc,2020,yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,clean,Unchanged from pilot scan.,ingest_next,confirmed,high,No change from pa_nj_candidate_sources_2026-07-12.csv; reconfirmed this follow-up.
New Jersey,Newark,non_safety_general,other,cba,City of Newark and AFSCME Local 2297 (Supervisory) 2010 CBA -- new direct PDF found this round,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/d62c013776fa729c85257b6000697b81/$FILE/City%20of%20Newark%20and%20AFSCME%20Loc%202297%20supv%202010.pdf,state_labor_board_perc,2010 (dated; likely superseded by a later cycle),yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,clean,"Direct PDF on the PERC domain; provenance is clean, but the 2010 cycle is well outside this project's 2014-2024 observation window and a current-cycle successor should be located before ingestion.",needs_review,confirmed,high,"A second, distinct Newark non-safety union (AFSCME 2297, supervisory) alongside IBT Local 97 -- strengthens the case that Newark's non-safety leg is genuinely well-documented, but this specific document is out-of-window and should not be ingested as-is."
New Jersey,Jersey City,police,police,cba,"Jersey City and Jersey City Police Superior Officers Association (PSOA), 2009-2012 -- new direct PDF found this round",https://www.perc.state.nj.us/publicsectorcontracts.nsf/e8bdc0fc8b79520c85256f4d005df32f/e89a84a02c1b30e68525796f00713377/$FILE/Jersey%20City%20and%20Jersey%20City%20PSOA%202009.pdf,state_labor_board_perc,2009-2012,yes,high,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,Direct PDF on the PERC domain. Cycle (2009-2012) is outside the 2014-2024 observation window; a current-cycle successor should be located before ingestion.,needs_review,confirmed,high,First document-level Jersey City police source found across both scan rounds; out-of-window but proves PERC indexing works for this city.
New Jersey,Jersey City,fire,fire,cba,"Jersey City and IAFF Local 1066 (Firefighters) resolution, 2009-2015 -- new direct PDF found this round",https://www.perc.state.nj.us/publicsectorcontracts.nsf/73c13dedea2483db852570fc0069c62e/64624c5dd23cf87385257fbd007286b2/$FILE/Jersey%20City%20and%20IAFF%20Loc%201066%20Res%202009.pdf,state_labor_board_perc,2009-2015,yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,clean,Direct PDF on the PERC domain. Partially overlaps the 2014-2024 window (extends to 2015) but a current-cycle successor should still be located before ingestion.,needs_review,confirmed,high,First document-level Jersey City fire source found across both scan rounds.
New Jersey,Jersey City,non_safety_general,other,cba,"Jersey City Public Employees, Local 245, MOA 2015 -- new direct PDF found this round",https://www.perc.state.nj.us/publicsectorcontracts.nsf/e20dbee295d1a49c85256f2b00591946/3b77019a44e7a6618525838200752eb1/$FILE/City%20of%20Jersey%20City%20and%20JC%20Public%20Employees%20Local%20245%20MOA%202015.pdf,state_labor_board_perc,2015-era MOA,yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,clean,Direct PDF on the PERC domain. Recognition-clause-first: occupation_class provisional 'other' pending a read of unit coverage.,needs_review,confirmed,high,"First document-level Jersey City non-safety source found across both scan rounds -- a genuine matched-triad candidate (with the police PSOA and fire IAFF 1066 rows above), though all three legs are dated to the same 2009-2015 era and need a current-cycle check."
New Jersey,Jersey City,non_safety_general,other,cba,"Jersey City Public Employees, Local 246, 2015 -- second non-safety direct PDF found this round",https://www.perc.state.nj.us/publicsectorcontracts.nsf/298b6b12dcbbcf4185256f4d005df2dc/e05d7b6591b2d97685258385006babd9/$FILE/Jersey%20City%20and%20Jersey%20City%20Ees%20Loc%20246%202015.pdf,state_labor_board_perc,2015-era,yes,medium,CLM-2026-07-12-05,H3,clean,"Direct PDF on the PERC domain; a second, distinct Jersey City non-safety local alongside Local 245.",needs_review,confirmed,high,"Confirms Jersey City has multiple non-safety bargaining units documented in PERC, not just one -- good redundancy if Local 245's coverage turns out to be narrow."
New Jersey,Paterson,police,police,context_only,"Paterson Police PBA Local 1 -- confirmed active via PERC interim-relief decision (IR No. 2021-19), no direct CBA found",https://perc.state.nj.us/percdecisions.nsf/2d493b97f53d77528525707d004e9f58/85257575007c21048525860e00515ca0,state_labor_board_perc,"dispute-year 2021, underlying CBA years unknown",maybe,medium,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,"Decision, not a contract; confirms 'PBA Local 1' as the exact Paterson police unit name (more specific than the pilot scan's generic 'PBA').",needs_review,partially_confirmed,medium,Names the exact local (PBA Local 1) for the first time; still no document-level source.
New Jersey,Paterson,fire,fire,context_only,"Paterson FMBA Local 2 (Tactical Fire Officers Association) -- confirmed via PERC decision (2012-39), no direct CBA found",https://perc.state.nj.us/percdecisions.nsf/IssuedDecisions/85257575007C21048525797D007338CD/$File/PERC%202012%2039.pdf,state_labor_board_perc,"dispute-year 2012, underlying CBA years unknown",maybe,medium,CLM-2026-07-12-01;CLM-2026-07-12-04,H1;H2;H4,clean,"Decision, not a contract; corroborates the pilot scan's TFOA lead with a more specific local name (FMBA Local 2 / Tactical Fire Officers Association).",needs_review,partially_confirmed,medium,"No document-level upgrade, but confirms the exact fire-officer local name."
New Jersey,Paterson,non_safety_general,unknown,context_only,City of Paterson non-safety municipal union -- still not located as a document or a named local,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,"No City of Paterson (municipal-level, non-school-district) non-safety source or named local surfaced in this follow-up round either; the only Paterson-domain PERC documents found were school-district contracts, a different bargaining unit entirely.",reject,not_found,unknown,Paterson's non-safety gap persists after a second search round; this is now the weakest-evidenced leg among the five NJ cities for the non-safety role specifically.
New Jersey,Paterson,other,other,context_only,"[JURISDICTION CAVEAT] Paterson (State-Operated) School District contracts on PERC -- different bargaining unit, not the municipal non-safety target",https://www.perc.state.nj.us/publicsectorcontracts.nsf/e20dbee295d1a49c85256f2b00591946/0f43cf4648793fb085258beb004c2496/$FILE/Paterson%20and%20Paterson%20Principal%20Assn%202018.pdf,state_labor_board_perc,2018,no,none,,,clean,"School-district employer, not the City of Paterson municipal government; would misrepresent the matched-triad design if mistaken for a municipal non-safety source.",reject,duplicate,high,Documented to prevent a future agent from mistaking Paterson school-district PERC filings for the municipal non-safety target.
New Jersey,Elizabeth,police,police,context_only,"Elizabeth Superior Officers Association -- reconfirmed via PERC synopsis reference, no new document",https://www.nj.gov/perc/documents/2024.09.26%20Synopses.pdf,state_labor_board_perc,"dispute references, various years",maybe,medium,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,No change from pilot scan; a targeted site: search this round returned zero Elizabeth-specific PERC hits at all (contracts or decisions).,needs_review,not_found,low,"Elizabeth is now the weakest-evidenced NJ city after this follow-up round, since Trenton and Jersey City both produced new direct documents while Elizabeth did not."
New Jersey,Elizabeth,fire,unknown,unknown,Elizabeth FMBA (fire) -- still not located as a document or a named local,,unknown,unknown,no,none,CLM-2026-07-12-01,H2,unknown,No new information this follow-up round.,needs_review,not_found,unknown,No change from pa_nj_candidate_sources_2026-07-12.csv.
New Jersey,Elizabeth,non_safety_general,unknown,unknown,Elizabeth non-safety municipal union -- still not located,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,No new information this follow-up round.,reject,not_found,unknown,"No change from pa_nj_candidate_sources_2026-07-12.csv; Elizabeth should be deprioritized relative to Newark, Jersey City, and Trenton for the next NJ ingestion batch."
New Jersey,Trenton,police,police,context_only,"Trenton PBA Local 11 -- confirmed via PERC decision (2014-17), no direct CBA found",https://perc.state.nj.us/percdecisions.nsf/IssuedDecisions/85257575007C210485257BD6007189C9/$File/PERC%202014%2017.pdf,state_labor_board_perc,"dispute-year 2014, underlying CBA years unknown",maybe,medium,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,"Decision, not a contract; but names the exact local (PBA Local 11) for the first time -- the pilot scan had zero Trenton-specific leads of any kind.",needs_review,partially_confirmed,medium,"Major upgrade from the pilot scan, which found no Trenton-specific evidence at all."
New Jersey,Trenton,fire,fire,context_only,"Trenton Fire Officers Association / FMBA Local 206 -- confirmed via PERC decision (2012-39), CBA years 2006-2013 referenced within the decision",https://perc.state.nj.us/percdecisions.nsf/IssuedDecisions/85257575007C21048525797D007338CD/$File/PERC%202012%2039.pdf,state_labor_board_perc,2006-2013 (per decision text; successor cycle not confirmed),maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,clean,"This is the same underlying PERC decision that also names Paterson's FMBA Local 2 (the decision covers a multi-employer dispute); confirms Trenton Fire Officers Association / FMBA Local 206 as the exact fire-officer unit and gives an approximate historical CBA date range, but not a direct current CBA PDF.",needs_review,partially_confirmed,medium,Major upgrade from the pilot scan; names the exact local and an approximate cycle for the first time.
New Jersey,Trenton,non_safety_general,other,cba,"City of Trenton and AFSCME Local 2281 (White Collar/Blue Collar), 2019 -- new direct PDF found this round",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/cf68ddfd35d953fd85258ca5003ea581/$FILE/Trenton%20and%20AFSCME%202281%20WC%20BC%202019.pdf,state_labor_board_perc,2019 (within the 2014-2024 observation window),yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,clean,"Direct PDF on the PERC domain, in-window (2019). Recognition-clause-first: occupation_class provisional 'other' pending a read of unit coverage (covers both White Collar and Blue Collar titles per the filename, so likely mixed/general municipal).",ingest_next,confirmed,high,"The single strongest new finding of this follow-up round: an in-window, direct, high-provenance non-safety CBA for Trenton -- the pilot scan had found nothing for Trenton at all."
New Jersey,Trenton,legal_institutional,unknown,context_only,"FMBA Local No. 6 and Trenton Fire Officers Association -- related PERC decision, cross-reference only",https://www.perc.state.nj.us/percdecisions.nsf/2d493b97f53d77528525707d004e9f58/9b6ad75839953b9385256cb4006d79da,state_labor_board_perc,unknown,no,none,,,unknown,"A second, related PERC decision touching Trenton fire-officer representation; not a contract.",hold,context_only,medium,Recorded for completeness; does not change the Trenton fire leg's status beyond the FMBA Local 206 row above.
