whole_corpus_claim_record_id,unit_type,source_layer,original_record_id,municipality,state,region,source_family,cba_non_cba_hint,side_label,claim_family,claim_boundary,qa_status,mechanism_class,period_label,pay_basis,source_lineage,caveats,no_final_national_claim,no_causal_claim
WCCR-533a2abba7d094ea175a3f94,rated_span,initial_4726_source_pipeline,WCRS-cceefe1efd18571e6d81eb56,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2839fd2291e5fba18eefa4c0,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-0dfb4a1dcb431de00208a196,rated_span,initial_4726_source_pipeline,WCRS-366fa0db0c7935114e1d21e7,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_29c68477fc087f0fe195908c,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-9ce278f11fe6343c5c9f06b8,rated_span,initial_4726_source_pipeline,WCRS-9127e3836c3b3a4a676e8a6d,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2a3bea02e80b407de441041a,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-8fb8724a003a025b33a35056,rated_span,initial_4726_source_pipeline,WCRS-303de59431b991e373be7004,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2b49e374feadd5cbda493015,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-4f5f278626ba4fb2f1cc5ece,rated_span,initial_4726_source_pipeline,WCRS-360296f2544f22a2edc096d0,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2c4fe911e49d92d55ee9c5c1,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-06acae31089ca251b0ea990f,rated_span,initial_4726_source_pipeline,WCRS-ed50936835b13c45c5019c09,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2c9ee96903e3a87d9a0149eb,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-69d1dd17257863c0a48ecdf7,rated_span,initial_4726_source_pipeline,WCRS-834d9d670a35770dcd84a530,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2d75e2647fe72a0255be3171,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-89540978c1b80903944dcd39,rated_span,initial_4726_source_pipeline,WCRS-9b9319e2af2eaabb1ed4a30d,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2e1b80e6a5545bd3408ff66d,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-5c16b9fbb12048faa0375f77,rated_span,initial_4726_source_pipeline,WCRS-1642b42678dfe7d56a1f2e95,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2f504053a6dfdc81d4de135d,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-b09b7d8b4cf15ae1321ee383,rated_span,initial_4726_source_pipeline,WCRS-24f2da384f3634061a2704d9,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_2f5537f15cd5303a8e0d06ee,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-4555bc1e16bf3b907bc3d5da,rated_span,initial_4726_source_pipeline,WCRS-55bf61175c5c417172e4ce78,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_32463629689eb34ceed27c81,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-dc09e55f7254e38148ee98d2,rated_span,initial_4726_source_pipeline,WCRS-a35750e74115f950093011b5,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_35263ebbc49eda893cd9d828,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-5cb2471738397dfdbb897345,rated_span,initial_4726_source_pipeline,WCRS-f2371f3f507acedfbb2f6676,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_370300097ce6175d754abf21,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-8e0c3fa8c275d8776ccec629,rated_span,initial_4726_source_pipeline,WCRS-f43b7d4eb61b8aff023f04c8,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_372dea5e11ea104969e141b6,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-60d2bd109e890b606ecf12f0,rated_span,initial_4726_source_pipeline,WCRS-acf7a4503580f5052a3f2600,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_394f913aea7e067e9f65cc3b,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-95e0f8e1645e9fb4db8ca578,rated_span,initial_4726_source_pipeline,WCRS-69203d845701a7e3d00e25cb,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_396bfd3863e6e4b863d82adf,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-c4cd22e42a975890a53030fd,rated_span,initial_4726_source_pipeline,WCRS-a4e6a6b6d733d9e3a21339b7,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_407e1b039bf8066e01f440da,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-fca54cc032c93dae20ea9a95,rated_span,initial_4726_source_pipeline,WCRS-a790cbe33c29cd7dd4bb9aa7,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_41c7165637e717459c92d043,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-5a23e2bd889a9ef142de4a5e,rated_span,initial_4726_source_pipeline,WCRS-b7b9dc9d5bdb69e34857dc41,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_420384d7d8c13d1f4c3f1cf6,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-55385e462def4276dfd7ba4a,rated_span,initial_4726_source_pipeline,WCRS-1a8b9c6914201887dfac6b2a,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_423c40e65ab5d9b5af30cd73,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-fb5dfc7102197ed4efc465e1,rated_span,initial_4726_source_pipeline,WCRS-4a069f35acc0cad5e744529e,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_424859a343d5e8bc6a2338a2,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-940b59c5c051fb4258df9e01,rated_span,initial_4726_source_pipeline,WCRS-0ffbd1de66abb2b729d381e2,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4472eac39e6c0828869b04c5,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-8b479995e3a0fc81508e4a95,rated_span,initial_4726_source_pipeline,WCRS-924df5687261e75402479703,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_45f9bb1f79974120114eff79,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-e3e7d95625bdbf41af2403f3,rated_span,initial_4726_source_pipeline,WCRS-60aea98711bdf5f368d0a4b0,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_471ae21535a904b4e065db61,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-fc8c3f68cf5571d5d6620ab6,rated_span,initial_4726_source_pipeline,WCRS-d67480c2c8888d76c40ce8d0,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_48f3428b7a191e7211bf0604,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-f4f7175175d65787e0bfa679,rated_span,initial_4726_source_pipeline,WCRS-199ef6ebc8a2df81a08d12e1,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4acb97a2a833d1e3502a2232,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-589dfa8c39bce2a0349cfb45,rated_span,initial_4726_source_pipeline,WCRS-779ec67a28b4ff067c383834,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4ada1841e5d80992ccbc2deb,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-d7d5eaa0dff71704815a9c8e,rated_span,initial_4726_source_pipeline,WCRS-1154336e089424d7f995aced,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4b1be2acba49d24ebd6afe0c,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-d16367c4b3981e4abcd354b8,rated_span,initial_4726_source_pipeline,WCRS-5ab09ef447e57e3fc2ab84dd,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4b79e29bf0a682989ccb7aa6,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-0984c775f4356327481cdb2b,rated_span,initial_4726_source_pipeline,WCRS-3a1aaab06f4e1fddbe68e39d,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4c054f9e72080158a9b0f11d,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-95770234f55ddf21073c3628,rated_span,initial_4726_source_pipeline,WCRS-f0cf49a79abf058f8c78f350,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4c7f4861f0a6c8b7f0c038b9,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-46c258d7adb97124ee0a95c2,rated_span,initial_4726_source_pipeline,WCRS-62fa4508636f3762b37210d0,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4c8b0b982bb55812874ad60c,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-48687d74cd671fd0f0cd9401,rated_span,initial_4726_source_pipeline,WCRS-a2103fbb0944cdaff9158743,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4e91745215ca541267eab474,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-310e6a5f115e525d930b52b1,rated_span,initial_4726_source_pipeline,WCRS-6df75e950537a5a8f72e88f3,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_4f998b47b6287d43c2674cfa,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-c45edc100a8cdc84b0b1849a,rated_span,initial_4726_source_pipeline,WCRS-166b291417cb05776ca1bdbc,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_51298764caf5c3199386f98a,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-1f895f75df47c1df72750359,rated_span,initial_4726_source_pipeline,WCRS-48e49bc27f285d3a0b75e472,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5134aee29b95eec65fd66202,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-c137fdc83474e702550e5fbd,rated_span,initial_4726_source_pipeline,WCRS-3fc4a50ed4b3600c2500331e,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5172a401abe1bed7cd3104c3,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-0f9068ba81a47b65687ca867,rated_span,initial_4726_source_pipeline,WCRS-60ab401d4bd3fb08a2211f61,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_554540a34d5ed509e836dcaa,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-280985cf7d2f522338293d13,rated_span,initial_4726_source_pipeline,WCRS-e496c6ac8f90ef49eaf480a9,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5579ddbea4432c6a4c90f4b2,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-e49c104eba164de71def0b39,rated_span,initial_4726_source_pipeline,WCRS-72d26e7b4c28f3d604cdb581,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_56be8e43a4a87a8204b1386b,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-b3a573b3154c8f5de947d6d1,rated_span,initial_4726_source_pipeline,WCRS-b8124739e4d9ad7234b4cc50,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_57274a92e0a125cc63235393,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-8b518a1ab8280d221c875461,rated_span,initial_4726_source_pipeline,WCRS-2665c305f423a6c5d778f0b5,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_58fad53dbaf82b213a10ef0c,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-10aa53699d8035fb31e42b80,rated_span,initial_4726_source_pipeline,WCRS-a29e2af075173b6e4b8b6322,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_59307c66d1d1145e1d21c85b,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-7fcf3f5deef971ac608dfd87,rated_span,initial_4726_source_pipeline,WCRS-9aaf174b35b834bd48a0ed6f,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5acc818d200c9d10414dc226,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-b469ab38eecc81d94b58d3d2,rated_span,initial_4726_source_pipeline,WCRS-9fc9da00088c9e35ecae8fa8,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5d2d95b233b1f94cda9d44a7,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-b211edcc6934c019c87aa4d2,rated_span,initial_4726_source_pipeline,WCRS-17358bf0fea8a2a7e3342e46,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5d59f01a5abe1b48f6061330,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-5ad454133d8653abcbc9bad2,rated_span,initial_4726_source_pipeline,WCRS-8224193386ca448dbfdb6524,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5e1400bfe8b982339a020812,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-23421e56ec358d7ca07c9b84,rated_span,initial_4726_source_pipeline,WCRS-bf53a952a80bb00caa6c4f2e,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5f1a160f481df08aba10c209,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-8ffc5cd6997229b3a19eb02e,rated_span,initial_4726_source_pipeline,WCRS-9d6ef2c1764496b8f856eb88,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_5ffe25a4a4a10636f39b14d1,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-da9691b99bb1ca5d91cd1a74,rated_span,initial_4726_source_pipeline,WCRS-4e9f4ed950b6b45069ec263a,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_622a3bcc02ac766500979c43,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-ff741650e4617eed3e78b318,rated_span,initial_4726_source_pipeline,WCRS-ce8ebe9f6243731f7b3b4007,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6368d6ae0a0c2efe58049169,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-6b0e84bc74779b4a05bec0b4,rated_span,initial_4726_source_pipeline,WCRS-66855c1687f15c7c40bb0a47,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_63b128cc7e2b945f1b1db364,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-0a60c7862b041a8047d7a778,rated_span,initial_4726_source_pipeline,WCRS-bb7f5e51e748ca9eabd127c9,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6511afaf990490a9ff10daa2,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-84bc5103cf3a1783e324c92e,rated_span,initial_4726_source_pipeline,WCRS-dfb74674d6cc2cc5fd9f3dc7,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6812c011a98a5651ad497a7a,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-903690c72bea29fb57729815,rated_span,initial_4726_source_pipeline,WCRS-99939b0f86d03b837075a530,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6a01d95f94287b3e24a0f6b7,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-233660d28e07a8e623eb68e2,rated_span,initial_4726_source_pipeline,WCRS-3e98b01e6996c000b45ae7c5,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6aa9d696c0df52b5ce353fe0,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-8c97d9651a3b2388c613ad63,rated_span,initial_4726_source_pipeline,WCRS-e2c78fdcc516e9c32eb70400,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6b2670e8e800c0a61de8c03b,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-b4e698a7dd31634b7a7f375d,rated_span,initial_4726_source_pipeline,WCRS-3c4f1667c9167c51f1667c87,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6c969d740a08cd68c56f1088,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-b9334774e70dab90c40c1ddc,rated_span,initial_4726_source_pipeline,WCRS-4d6279b2cb4145075a119d0d,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6e1d54f7d806cb57f78153db,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-00544fb27f1d3dd93ecc4adb,rated_span,initial_4726_source_pipeline,WCRS-592bd004ed7add453d507700,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_6f1021e93b872a6e05ae4691,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-895b9b81abf061fc6ef64aa1,rated_span,initial_4726_source_pipeline,WCRS-3e9e3d85ad1404fd099f37da,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_728c19d74f36046dec4e0b5a,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
