evidence_id,row_document_id,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved
qualitative:lobs_53c2e6713eba586585db1104,lobs_53c2e6713eba586585db1104,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_622a3bcc02ac766500979c43,lobs_622a3bcc02ac766500979c43,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_698c36b2be5198d4fbeef9e1,lobs_698c36b2be5198d4fbeef9e1,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_77bd16fc54403f2c8659eb6b,lobs_77bd16fc54403f2c8659eb6b,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_7c83c95869b04310fca693cb,lobs_7c83c95869b04310fca693cb,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_895ed5bd5dee0e3d876d864a,lobs_895ed5bd5dee0e3d876d864a,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_8afd840319a4f94e4c5adeb7,lobs_8afd840319a4f94e4c5adeb7,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_8e78c1f4e193499293c04f38,lobs_8e78c1f4e193499293c04f38,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_92008d60e2fb5bad81007465,lobs_92008d60e2fb5bad81007465,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_968a71b31a8ece8bd353811e,lobs_968a71b31a8ece8bd353811e,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_9c39f50ba59e2d9c914219c8,lobs_9c39f50ba59e2d9c914219c8,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_add75fa7672ad2b5882a4c49,lobs_add75fa7672ad2b5882a4c49,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_baa2b2933f95f0952c4d5e5c,lobs_baa2b2933f95f0952c4d5e5c,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_bcf614863c1283ef21f50f09,lobs_bcf614863c1283ef21f50f09,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_c4553bdc85d670b308953d7b,lobs_c4553bdc85d670b308953d7b,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_c8faa70a5f9e6fa3e2ad3b8f,lobs_c8faa70a5f9e6fa3e2ad3b8f,live,2,success,StrictValidationError,forbidden_final_claim_language,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_d1dddcdb851b839de898e659,lobs_d1dddcdb851b839de898e659,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_d8052656664036944ea43cb9,lobs_d8052656664036944ea43cb9,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_dc7e73e8f67ec70d3dda5227,lobs_dc7e73e8f67ec70d3dda5227,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_ddadd26f731b4b88bccddd11,lobs_ddadd26f731b4b88bccddd11,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_e1912544cad890ab8b7b1a46,lobs_e1912544cad890ab8b7b1a46,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_e831656e706058e27d3da3f2,lobs_e831656e706058e27d3da3f2,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_f36e3f4b3de743590affc1ba,lobs_f36e3f4b3de743590affc1ba,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_f7f88df16d9dd88e41991f59,lobs_f7f88df16d9dd88e41991f59,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
