state,valid_rating_count,evidence_strength_counts,claim_relevance_counts
IA,255,"{""moderate"": 49, ""not_supported"": 31, ""strong"": 89, ""weak"": 86}","{""context_only"": 76, ""direct_text_claim"": 34, ""documentary_mechanism_claim"": 14, ""not_claim_ready"": 19, ""quantitative_compensation_claim"": 110, ""source_navigation_claim"": 2}"
ID,79,"{""moderate"": 16, ""not_supported"": 19, ""strong"": 21, ""weak"": 23}","{""context_only"": 22, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 11, ""quantitative_compensation_claim"": 33, ""source_navigation_claim"": 1}"
IL,1246,"{""moderate"": 217, ""not_supported"": 194, ""strong"": 306, ""weak"": 529}","{""context_only"": 470, ""direct_text_claim"": 142, ""documentary_mechanism_claim"": 110, ""not_claim_ready"": 118, ""quantitative_compensation_claim"": 392, ""source_navigation_claim"": 14}"
IN,326,"{""moderate"": 77, ""not_supported"": 30, ""strong"": 105, ""weak"": 114}","{""context_only"": 94, ""direct_text_claim"": 63, ""documentary_mechanism_claim"": 35, ""not_claim_ready"": 20, ""quantitative_compensation_claim"": 112, ""source_navigation_claim"": 2}"
KS,223,"{""moderate"": 46, ""not_supported"": 27, ""strong"": 53, ""weak"": 97}","{""context_only"": 86, ""direct_text_claim"": 25, ""documentary_mechanism_claim"": 23, ""not_claim_ready"": 17, ""quantitative_compensation_claim"": 70, ""source_navigation_claim"": 2}"
KY,132,"{""moderate"": 17, ""not_supported"": 20, ""strong"": 35, ""weak"": 60}","{""context_only"": 48, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 11, ""not_claim_ready"": 9, ""quantitative_compensation_claim"": 51, ""source_navigation_claim"": 3}"
LA,105,"{""moderate"": 15, ""not_supported"": 21, ""strong"": 24, ""weak"": 45}","{""context_only"": 43, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 14, ""quantitative_compensation_claim"": 32}"
MA,414,"{""moderate"": 63, ""not_supported"": 61, ""strong"": 113, ""weak"": 177}","{""context_only"": 144, ""direct_text_claim"": 53, ""documentary_mechanism_claim"": 50, ""not_claim_ready"": 32, ""quantitative_compensation_claim"": 131, ""source_navigation_claim"": 4}"
MD,71,"{""moderate"": 11, ""not_supported"": 8, ""strong"": 30, ""weak"": 22}","{""context_only"": 23, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 31, ""source_navigation_claim"": 1}"
ME,418,"{""moderate"": 84, ""not_supported"": 59, ""strong"": 124, ""weak"": 151}","{""context_only"": 148, ""direct_text_claim"": 64, ""documentary_mechanism_claim"": 31, ""not_claim_ready"": 26, ""quantitative_compensation_claim"": 144, ""source_navigation_claim"": 5}"
MI,1111,"{""moderate"": 196, ""not_supported"": 139, ""strong"": 338, ""weak"": 438}","{""context_only"": 384, ""direct_text_claim"": 159, ""documentary_mechanism_claim"": 88, ""not_claim_ready"": 68, ""quantitative_compensation_claim"": 410, ""source_navigation_claim"": 2}"
MN,661,"{""moderate"": 102, ""not_supported"": 61, ""strong"": 235, ""weak"": 263}","{""context_only"": 202, ""direct_text_claim"": 96, ""documentary_mechanism_claim"": 54, ""not_claim_ready"": 31, ""quantitative_compensation_claim"": 269, ""source_navigation_claim"": 9}"
MO,371,"{""moderate"": 64, ""not_supported"": 60, ""strong"": 89, ""weak"": 158}","{""context_only"": 137, ""direct_text_claim"": 42, ""documentary_mechanism_claim"": 30, ""not_claim_ready"": 33, ""quantitative_compensation_claim"": 120, ""source_navigation_claim"": 9}"
MS,24,"{""moderate"": 4, ""not_supported"": 1, ""strong"": 14, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 13}"
MT,103,"{""moderate"": 17, ""not_supported"": 8, ""strong"": 41, ""weak"": 37}","{""context_only"": 28, ""direct_text_claim"": 20, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 6, ""quantitative_compensation_claim"": 45}"
NC,487,"{""moderate"": 84, ""not_supported"": 111, ""strong"": 111, ""weak"": 181}","{""context_only"": 193, ""direct_text_claim"": 58, ""documentary_mechanism_claim"": 30, ""not_claim_ready"": 44, ""quantitative_compensation_claim"": 155, ""source_navigation_claim"": 7}"
ND,52,"{""moderate"": 11, ""not_supported"": 7, ""strong"": 15, ""weak"": 19}","{""context_only"": 12, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 8, ""quantitative_compensation_claim"": 23}"
NE,125,"{""moderate"": 16, ""not_supported"": 5, ""strong"": 47, ""weak"": 57}","{""context_only"": 44, ""direct_text_claim"": 19, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 49, ""source_navigation_claim"": 1}"
NH,345,"{""moderate"": 64, ""not_supported"": 42, ""strong"": 83, ""weak"": 156}","{""context_only"": 133, ""direct_text_claim"": 36, ""documentary_mechanism_claim"": 24, ""not_claim_ready"": 19, ""quantitative_compensation_claim"": 129, ""source_navigation_claim"": 4}"
NJ,465,"{""moderate"": 93, ""not_supported"": 43, ""strong"": 171, ""weak"": 158}","{""context_only"": 134, ""direct_text_claim"": 61, ""documentary_mechanism_claim"": 33, ""not_claim_ready"": 29, ""quantitative_compensation_claim"": 206, ""source_navigation_claim"": 2}"
NM,111,"{""moderate"": 21, ""not_supported"": 17, ""strong"": 27, ""weak"": 46}","{""context_only"": 39, ""direct_text_claim"": 23, ""documentary_mechanism_claim"": 16, ""not_claim_ready"": 12, ""quantitative_compensation_claim"": 21}"
NV,185,"{""moderate"": 44, ""not_supported"": 16, ""strong"": 57, ""weak"": 68}","{""context_only"": 53, ""direct_text_claim"": 29, ""documentary_mechanism_claim"": 12, ""not_claim_ready"": 11, ""quantitative_compensation_claim"": 76, ""source_navigation_claim"": 4}"
NY,883,"{""moderate"": 167, ""not_supported"": 116, ""strong"": 245, ""weak"": 355}","{""context_only"": 276, ""direct_text_claim"": 98, ""documentary_mechanism_claim"": 72, ""not_claim_ready"": 82, ""quantitative_compensation_claim"": 352, ""source_navigation_claim"": 3}"
OH,1450,"{""moderate"": 283, ""not_supported"": 175, ""strong"": 433, ""weak"": 559}","{""context_only"": 475, ""direct_text_claim"": 199, ""documentary_mechanism_claim"": 172, ""not_claim_ready"": 114, ""quantitative_compensation_claim"": 478, ""source_navigation_claim"": 12}"
OK,160,"{""moderate"": 33, ""not_supported"": 23, ""strong"": 33, ""weak"": 71}","{""context_only"": 64, ""direct_text_claim"": 18, ""documentary_mechanism_claim"": 18, ""not_claim_ready"": 8, ""quantitative_compensation_claim"": 50, ""source_navigation_claim"": 2}"
OR,280,"{""moderate"": 53, ""not_supported"": 43, ""strong"": 86, ""weak"": 98}","{""context_only"": 85, ""direct_text_claim"": 33, ""documentary_mechanism_claim"": 16, ""not_claim_ready"": 24, ""quantitative_compensation_claim"": 118, ""source_navigation_claim"": 4}"
PA,454,"{""moderate"": 71, ""not_supported"": 75, ""strong"": 103, ""weak"": 205}","{""context_only"": 191, ""direct_text_claim"": 42, ""documentary_mechanism_claim"": 40, ""not_claim_ready"": 49, ""quantitative_compensation_claim"": 128, ""source_navigation_claim"": 4}"
RI,210,"{""moderate"": 34, ""not_supported"": 25, ""strong"": 57, ""weak"": 94}","{""context_only"": 81, ""direct_text_claim"": 33, ""documentary_mechanism_claim"": 22, ""not_claim_ready"": 17, ""quantitative_compensation_claim"": 57}"
SC,130,"{""moderate"": 21, ""not_supported"": 14, ""strong"": 36, ""weak"": 59}","{""context_only"": 45, ""direct_text_claim"": 15, ""documentary_mechanism_claim"": 10, ""not_claim_ready"": 9, ""quantitative_compensation_claim"": 51}"
SD,131,"{""moderate"": 19, ""not_supported"": 11, ""strong"": 75, ""weak"": 26}","{""context_only"": 17, ""direct_text_claim"": 18, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 9, ""quantitative_compensation_claim"": 83}"
TN,208,"{""moderate"": 34, ""not_supported"": 35, ""strong"": 52, ""weak"": 87}","{""context_only"": 74, ""direct_text_claim"": 35, ""documentary_mechanism_claim"": 13, ""not_claim_ready"": 21, ""quantitative_compensation_claim"": 64, ""source_navigation_claim"": 1}"
TX,505,"{""moderate"": 88, ""not_supported"": 109, ""strong"": 122, ""weak"": 186}","{""context_only"": 199, ""direct_text_claim"": 46, ""documentary_mechanism_claim"": 32, ""not_claim_ready"": 52, ""quantitative_compensation_claim"": 172, ""source_navigation_claim"": 4}"
UT,121,"{""moderate"": 26, ""not_supported"": 11, ""strong"": 32, ""weak"": 52}","{""context_only"": 35, ""direct_text_claim"": 12, ""documentary_mechanism_claim"": 13, ""not_claim_ready"": 9, ""quantitative_compensation_claim"": 49, ""source_navigation_claim"": 3}"
VA,190,"{""moderate"": 37, ""not_supported"": 35, ""strong"": 49, ""weak"": 69}","{""context_only"": 62, ""direct_text_claim"": 32, ""documentary_mechanism_claim"": 10, ""not_claim_ready"": 22, ""quantitative_compensation_claim"": 62, ""source_navigation_claim"": 2}"
VT,306,"{""moderate"": 66, ""not_supported"": 29, ""strong"": 68, ""weak"": 143}","{""context_only"": 118, ""direct_text_claim"": 41, ""documentary_mechanism_claim"": 23, ""not_claim_ready"": 19, ""quantitative_compensation_claim"": 99, ""source_navigation_claim"": 6}"
WA,590,"{""moderate"": 126, ""not_supported"": 69, ""strong"": 169, ""weak"": 226}","{""context_only"": 195, ""direct_text_claim"": 85, ""documentary_mechanism_claim"": 34, ""not_claim_ready"": 39, ""quantitative_compensation_claim"": 232, ""source_navigation_claim"": 5}"
WI,740,"{""moderate"": 137, ""not_supported"": 85, ""strong"": 222, ""weak"": 296}","{""context_only"": 252, ""direct_text_claim"": 94, ""documentary_mechanism_claim"": 66, ""not_claim_ready"": 49, ""quantitative_compensation_claim"": 275, ""source_navigation_claim"": 4}"
WV,58,"{""moderate"": 13, ""not_supported"": 3, ""strong"": 18, ""weak"": 24}","{""context_only"": 25, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 19}"
WY,21,"{""moderate"": 5, ""not_supported"": 7, ""strong"": 5, ""weak"": 4}","{""context_only"": 10, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
