span_extraction_id,rating_lane_id,stage,attempt,request_id,backend,model,status,schema_valid,input_sha256,input_chars,span_chars,context_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
CBSPAN-20260728-9f18afdb0b178030db2624fc,rating_lane_001,live,1,resp_0ec3acb0016d8793006a695c9513608194b52ed5cab11c4685,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,80ee27e8aa283973a532cb4d9a190cb59b1ca36c7cdc2f4ff44860c3735e3f33,2347,74,500,1060,282,1342,5.564653,,,false,false
CBSPAN-20260728-7093419ef33217a5092a351c,rating_lane_001,live,1,resp_0822c7b63bee20be006a695c95127c8193b230973779d9b7e6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,fbdadf61de5658043abb99cbd5b5f68bdbcca11490a8a3f8b18014e1b7e2669d,2295,52,500,1017,274,1291,4.817890,,,false,false
CBSPAN-20260728-9094490b918c5560155037bf,rating_lane_001,live,1,resp_0c8667c0635c8a8b006a695c953b4081938d9c340f9939e065,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2f37b571d48f6f42d38cb33d0bac2aff4b1f477b6c137093373947ca028d31e9,2302,55,500,1047,164,1211,4.506556,,,false,false
CBSPAN-20260728-9f809be1c76ae0a2d8183956,rating_lane_001,live,1,resp_0b54c350f6537c8b006a695c954b448197b19e2f969c569fb7,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1a68045f3ead5175af80816b2f0654460794bf7af678ed4862927c3a3c111616,2326,118,500,1041,260,1301,4.969530,,,false,false
CBSPAN-20260728-01e059eba51a665c896594ff,rating_lane_001,live,1,resp_0d4b686f4775f16f006a695c9657748194961b2cfda13ece50,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,daf47e26e26a47784707f576045ecc2fd73b2b78d63fc553c2a660ab5d89170e,2299,64,500,991,196,1187,6.108081,,,false,false
CBSPAN-20260728-fac72a9ec1d680dacbcdaa5d,rating_lane_001,live,1,resp_0424544a86162de9006a695c971d40819096c05f14f376de46,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,e8477b18ea3973c758604be28156e7d0b4aa02f9d3fa5cf7c9a9943f0140b3ec,2282,65,500,979,205,1184,6.632761,,,false,false
CBSPAN-20260728-95b373c4a92ba882ed9be82e,rating_lane_001,live,1,resp_0edb6cde526acc81006a695c976d4c819699593780751aaf89,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6621e6f967fa70e330919fbe629da11118a90e2524c696ebc20e5be6d5b43dcd,2303,66,500,1001,297,1298,7.747404,,,false,false
CBSPAN-20260728-a16fcd79395210e0d1156369,rating_lane_001,live,1,resp_0a1317f6624f7acf006a695c978e64819386c90b706ad151ef,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,c5ff3db17c4bc33f69e8925b783c0a15791addbb8e41f3fc8130e6a6bdcc4f43,2289,81,500,988,338,1326,7.989500,,,false,false
CBSPAN-20260728-062895d988373444cd642a42,rating_lane_001,live,1,resp_066a61382d6ef94e006a695c97f20c8194bb2224d00ed23070,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,472a88553e433425390545e5c1a018fcf3a33198a2527d40ccacd4c359a3f200,2296,84,500,1047,244,1291,9.317628,,,false,false
CBSPAN-20260728-6e24e7fea9a652d1355712d6,rating_lane_001,live,1,resp_039f91b8e232fdae006a695c9831dc819391e4ad6a8742f709,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,29a9a970efc8bbbc4594b3b12892dc5aa834f7d49b142b2e79ee6753f0517643,2294,86,500,1154,302,1456,8.206397,,,false,false
CBSPAN-20260728-9c8d82ca5ffd2d8ac9690ee0,rating_lane_001,live,1,resp_0b9e604ab9f00ecd006a695c98bc2c8196a3c9e9ecd9ccac79,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,61cee3b933f20df5b43580db03e5921f00a107a35e32194b1d39b1109a34b935,2300,91,500,1027,276,1303,8.783960,,,false,false
CBSPAN-20260728-24bf7be3100d214c02e14ea7,rating_lane_001,live,1,resp_076e4abbc355e292006a695c98db14819791979a7f36f5927c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d2563fe505ed1bd4f547904e66639d9cc5287834d6645b4d13dce155038cef0a,2247,40,500,1008,317,1325,8.965754,,,false,false
CBSPAN-20260728-37f9277a1a48fedb4daa6375,rating_lane_001,live,1,resp_0a9cdb66b5f4a235006a695c993e0c8190b0b98d69e422aadb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6a9724bc02fa943b8d50c543ae9c0783f23cb5e52c9946337d7ec8861cb956f4,2297,83,500,1022,314,1336,9.317422,,,false,false
CBSPAN-20260728-41085764b55c9c47be087c40,rating_lane_001,live,1,resp_0040dacc36a20418006a695c9a20208195870cc094b202a66d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f5977e9af034ea622a1e1aebb62d51be3093b2766f6edf0bfe95570a49bece98,2293,80,500,1024,356,1380,10.314348,,,false,false
CBSPAN-20260728-25082c23a8dd18c3b268e975,rating_lane_001,live,1,resp_0ef135d4f70e489e006a695c9a579c8196a7ae91de7a8aa6d8,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,9701bc6ae6fb17d77a7640882e5c9b1bb631ff477ffa3ebcb40cf62552a743f2,2283,81,500,1021,271,1292,10.082751,,,false,false
CBSPAN-20260728-7e787296a2a8fa3510214d08,rating_lane_001,live,1,resp_03a78f784f308f74006a695c9a94c881959c9317c6ecf855d8,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,9f4d26a8750f805398254d826c3c46def7d9b2f4bd761af386709016e36de675,2283,81,500,1027,229,1256,10.240941,,,false,false
CBSPAN-20260728-6293c7f06126ef0bdadb0922,rating_lane_001,live,1,resp_02916b4f5e15368a006a695c9acd688197be9a000d3e05f8d2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,806e78c1ea7b2d0fe0ca53460a5320795c8b2d0f5b6d313748c63ba8a5dc28cd,2299,95,500,1023,226,1249,10.515283,,,false,false
CBSPAN-20260728-4ef20405c2c5a68749ebac2b,rating_lane_001,live,1,resp_0cfd02352c3e8cd1006a695c9b60b481948554a43655431490,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,34184a6a55ecfd4f58e7c57279775cc6b7b9e66f235483d04381bc7220ad9f78,2293,91,500,997,450,1447,12.696222,,,false,false
CBSPAN-20260728-6566808891ef413ae5dcdd75,rating_lane_001,live,1,resp_0fbf36cf48cc45ed006a695c9b8c18819694e273e151505905,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a5fcd5455514add739b5038614e1953cf5659e57746730c71d8eb9314d0640b6,2288,77,500,1011,207,1218,11.361723,,,false,false
CBSPAN-20260728-25a343c86baaf0fc44a2231e,rating_lane_001,live,1,resp_0ac51431f4ab878b006a695c9be804819496c396b558eba221,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,01e073f086aa97c9866795b7fc574532c016a5c73256e95494fafd411004b5f8,2286,77,500,987,296,1283,11.924964,,,false,false
CBSPAN-20260728-3fc69254fa1ae96277fd0640,rating_lane_001,live,1,resp_01f5eba16c4d4dbe006a695c9beb588196b7b6781dbe3072b7,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4e08d103a5e12f81585cd0e7cb2afb6bc78bb3895c3ec43c5e2a4c5fe6017935,2282,90,500,1010,223,1233,12.043682,,,false,false
CBSPAN-20260728-22eaed7cddc65805a476e58a,rating_lane_001,live,1,resp_08a84fc21bfe1ab2006a695c9f60a48190ab1e5f4b34081814,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2284186bd42d4ab4d192d020243c01baeddcb0350ff1cf406c2eca8bc7427da4,2326,125,500,996,225,1221,2.329666,,,false,false
CBSPAN-20260728-2d84ccbf61dbc0decdc8a1c2,rating_lane_001,live,1,resp_05344952e2d02db8006a695c9f63cc819397817b0fdc1f0b45,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f9a23a7676660fd9d41987af8642b899002bdcee1a4a60f45c30bfc703d4a7ed,2290,78,500,985,283,1268,2.747181,,,false,false
CBSPAN-20260728-62bd98f67daa68ed6001cad3,rating_lane_001,live,1,resp_0a4d43ef6f6e2388006a695c9f645881948b6c5d7fd038a3fb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f9af1f3b83d159f58650789c08913f4fdb9aea1ec72045a6b5f6b6396e51e76b,2306,88,500,995,355,1350,3.289844,,,false,false
CBSPAN-20260728-7644d5866db1a264c82fbd1b,rating_lane_001,live,1,resp_0f159d965af6093e006a695c9f5e348197b9c4ca660c8991e1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4eb49112ba2a4c4412bee55dacbe1a2e12e397c1bb3fd16b9dbf6be15a7e8e5a,2261,67,500,973,224,1197,2.329751,,,false,false
CBSPAN-20260728-56fa8ea7a22deeb973f402de,rating_lane_001,live,1,resp_06fbd43da644d893006a695c9f60a08190899e6ea1979abab2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d1a5e61addc7d1291f23d6c72fda2d42c5b2ab9d0493acc0130f2aeb4b02c16c,2364,89,500,1024,318,1342,2.795228,,,false,false
CBSPAN-20260728-6a646b50800c19c6b45bd97f,rating_lane_001,live,1,resp_01245ef051fc775d006a695c9f5b3c8194b880fb7717c28f7b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f454dd278901b0eb906edd88b4982066790d0f09114c9fc55b754c22ab2be856,2381,88,500,1004,232,1236,2.329769,,,false,false
CBSPAN-20260728-1b142964dab37155579dee84,rating_lane_001,live,1,resp_0c3509554bdc18aa006a695c9f62b481909871eb46b6d47a85,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2ca003d54b704182263c89abac79be30596fae213dd8cdf2d862c595dd1fa170,2404,109,500,1010,229,1239,2.338484,,,false,false
CBSPAN-20260728-375af5f1df81456dc830accb,rating_lane_001,live,1,resp_0f8c1c2cf800529f006a695c9f61d88195879f82bf3987c5b6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d41f813b20398155d2cfedf3d16cb12bd1addfbae6cf27e47c8c54d982edc686,2371,92,500,1005,430,1435,3.394019,,,false,false
CBSPAN-20260728-487820d90cf3bb83c7ef42ca,rating_lane_001,live,1,resp_08966cccf62fd50a006a695ca1a2fc819697837023134c2a80,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,ff07c88a4bf9c3bb11fec9e96f29a08892012b46be270dc44cd4f92aca3f7860,2319,46,500,1020,224,1244,5.711588,,,false,false
CBSPAN-20260728-e6e605e85ecd8a4121beffe9,rating_lane_001,live,1,resp_01e7ac4f4244467b006a695ca1aec4819789ceb05db5be02ee,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,661b33eb4fbb33bbdcd794191c89b9add7e84c5a095998c640834d481f7ec951,2366,85,500,1007,362,1369,5.285161,,,false,false
CBSPAN-20260728-93effead285c605db35006c7,rating_lane_001,live,1,resp_0ef2204da5316ffb006a695ca1ad38819683c91af2af8d8627,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,de942a848b59c93c616cce697af662b06daefd245f3d63acf5787a0b96335a7a,2367,73,500,1000,293,1293,4.899891,,,false,false
CBSPAN-20260728-e6ed9f6255ea67fbdb0abba3,rating_lane_001,live,1,resp_0a01468965c5b9d7006a695ca1ad80819481ee63aed217ec5c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,df8a23944a0cc9594c4b81359e820f182cb579ff63223ae5867d1e10bd8172a7,2386,90,500,1014,379,1393,5.296073,,quote_not_exact_span_substring,false,false
CBSPAN-20260728-7d8e074b409e74efb0b644b1,rating_lane_001,live,1,resp_0e46b107bf979147006a695ca20fa88193a285234499bcd574,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,0de925a05d6aae0f4ddf57c53216bf9a14c56fb6022219112e84ecb44fecbd36,2381,98,500,990,383,1373,5.704131,,,false,false
CBSPAN-20260728-3007e7913af7645d220ad058,rating_lane_001,live,1,resp_0d05e4472d4e403c006a695ca218288190a2a4bfcf2be8db62,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,ab945645f371a9f3689da93bd47e668289764fc6ad040573b2311d70c2fbe0a4,2326,42,500,1012,249,1261,5.041250,,,false,false
CBSPAN-20260728-dc0292ec2ff8cc0f67e6973b,rating_lane_001,live,1,resp_01797be1f9b3e1c5006a695ca29b2c8196a5bd865cf168a922,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,15df6761dba00f963a592949372064696cf5b8c93a6e744ae6382dcf8fb9608a,2404,94,500,1013,252,1265,5.806766,,,false,false
CBSPAN-20260728-a42cff33032be876dc9c110e,rating_lane_001,live,1,resp_04e30fccb7b0b5c0006a695ca2b74881979dc05922a877784a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d0e864727cffca98c5400b83edf196538250dce9b70875bf0fc2d3a8455b186c,2359,66,500,1003,219,1222,5.704342,,,false,false
CBSPAN-20260728-0d37c4126ca23b3827f02c60,rating_lane_001,live,1,resp_07f357b5509a63d9006a695ca43658819582bbbd527ebd4266,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,672f32c5325b05ea5d97cbe914a7e9f87577405f6f716a893745cee048f2e78c,2282,47,500,1004,226,1230,7.071764,,,false,false
CBSPAN-20260728-c16b24e933c6d7271484802c,rating_lane_001,live,1,resp_0cf6c49d5700885f006a695ca459f481959c1dae78f7d7c03b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,8997f999596cccbd5336814f8eb79e4263535a791885b73e40017edcae283cc4,2278,63,500,965,243,1208,7.534006,,,false,false
CBSPAN-20260728-36c6c29abb9d1fb3d5f2b133,rating_lane_001,live,1,resp_028dacc6147f87b4006a695ca4d7f88195a4b88d65f365d9b7,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d16a465f4fce091964a0dc3877f99d31892ae2ca853ec9040b1ddab1870ed0a7,2231,17,500,968,278,1246,11.237935,,,false,false
CBSPAN-20260728-c9897d81fe2b205a42f14e20,rating_lane_001,live,1,resp_0e87d0b536927951006a695ca49f9481949201a4189f4aea76,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,563b705be7ef4603f75b07f82856ed3b573dbd70292c2ca756b2760278e6fecc,2227,17,500,945,257,1202,7.624769,,,false,false
CBSPAN-20260728-89e28822e72fba0b633e21eb,rating_lane_001,live,1,resp_0099081c6f0a47d7006a695ca5128c8193be6c4fc81d6a61c1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,34af122abdb49f71b739595dc35b6218adea8a3c3ebd46b5eb437c7b300fd509,2344,127,500,1037,339,1376,8.482865,,,false,false
CBSPAN-20260728-b7f21bc83370759987fa97f1,rating_lane_001,live,1,resp_096cc15bc4578e5a006a695ca5055c8196931f227626bd5408,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,126ba3b5f2c8057fbf3d3370152786197dfe0b64045d4dfe61fa9bdd7476bfd0,2291,72,500,992,298,1290,8.260828,,,false,false
CBSPAN-20260728-583ed7b03c79b3e40903ea51,rating_lane_001,live,1,resp_0166141969b760d3006a695ca50828819483b9bd7bd2cb1907,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,03974ec65be2d2ec51c3f63d9329727eff2408accbe0b378f6f01e9e576c57ae,2302,68,500,992,304,1296,8.468540,,,false,false
CBSPAN-20260728-b44e859dc2c164c674433539,rating_lane_001,live,1,resp_0e9b40f1820ebb28006a695ca51f448190b49389b6a277124f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,19e1e132b11ea9c072fd535f754d0610a76bb1f421823c0f0d616a43b29c5775,2348,111,500,997,323,1320,8.623093,,,false,false
CBSPAN-20260728-82bb44bda490d50254fe7a33,rating_lane_001,live,1,resp_0b0c079b8cb514db006a695ca667188196aa262f5e2d7f67ed,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d0b9f9d48c971daef0e1472afa696937ce145b971c413bef05554e8b63f07161,2325,106,500,998,372,1370,10.515068,,,false,false
CBSPAN-20260728-e9f0593b832f898cb7bfb755,rating_lane_001,live,1,resp_0a5b89b7c7ec7503006a695ca6da888193952611112c664fc0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5b26b3486ecb28134e6e5d6c6dccee46889e7682f9595824c34e5c70533dad4c,2342,89,500,1034,333,1367,11.504820,,,false,false
CBSPAN-20260728-d71152778240009be713e4d7,rating_lane_001,live,1,resp_0759ceebb6a8468c006a695ca6ef408194b4345eccddb6f86f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,c2839b3ff32892952f51749fc7d20e3a3423bd9d7fe850e09e6ee9d775aee776,2312,107,500,987,253,1240,10.107472,,,false,false
CBSPAN-20260728-c486497af697ec18a64b46b9,rating_lane_001,live,1,resp_0ddf41d36ec7164b006a695ca79e4c8197a7e342af0927db1d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a5b8e0feebd7b54ffc927581af85ef2500a5148864ad287ca68995abb9138e52,2313,107,500,998,320,1318,11.248939,,,false,false
CBSPAN-20260728-8ea2205a1439525c5b7b524d,rating_lane_001,live,1,resp_0b8be08052710963006a695ca7c9ac8196be1bb9a7c0080a62,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,3e2c085f22c9cb1a95adfd781806a52f4560cb9c569e432732153dd97c922547,2313,107,500,988,291,1279,11.237952,,,false,false
CBSPAN-20260728-6c4b0413326a70680d640433,rating_lane_001,live,1,resp_0fd62133724bdd79006a695ca7cb5481959efc9039c3fbe15c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,8a21ee351b35885d39334f345b9537ce8d83a27012848e040ffa38013e31c6b9,2244,33,500,984,272,1256,11.237011,,,false,false
CBSPAN-20260728-4d444af1d8d1b22247a47c68,rating_lane_001,live,1,resp_0f8bf74af15a1a9e006a695ca7f4d08193abe59de1d3ccacd9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,527ef8b63ef198dc58684888fcf1b4546e04fb02436412fb85bd889773379f4f,2290,83,500,995,285,1280,11.238100,,,false,false
CBSPAN-20260728-9f503aaf7218fd87b9b90c1b,rating_lane_001,live,1,resp_0f468f7f4d21d3ac006a695ca96bd08194b8ea3c27a6e0ef5d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2b0764f5b08e716ff7d5897f22eb94cf98d06c2807ef45a6c47bf2d86aaf617e,2283,59,500,983,222,1205,12.255448,,,false,false
CBSPAN-20260728-e6ed9f6255ea67fbdb0abba3,rating_lane_001,live,2,resp_05f26060d78eed6b006a695caba20c8197950e3714022785a6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,7f4a592f8d65fe456502f12b5175bea3cf0f16345e66f730f37c06bee72ab738,2495,90,500,1034,365,1399,3.007347,,,false,false
CBSPAN-20260728-b69ee76c19884ef7a48c3718,rating_lane_001,live,1,resp_049168180d9557c9006a695caeaafc8197ade10a903a825738,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,025c9b80fc50b4556d3568a41ba3c5c03d79589e56bccddef823ed1af61e099e,2316,111,500,1003,382,1385,3.201446,,,false,false
CBSPAN-20260728-401fbb457f655ac3a5f79249,rating_lane_001,live,1,resp_0afe6bee7a356a66006a695caeac908197abe774fa08b05343,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,122907ace506cacd560fdb28316ea7f90ca96f3313456edd1bac5a8c4e51f43f,2387,172,500,1048,216,1264,2.271312,,,false,false
CBSPAN-20260728-23b877fa76535113fd993d96,rating_lane_001,live,1,resp_0efb1be60b1174d2006a695caeb1c88197a2f009dfc872e3f1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b91fe9a7f2a6c368dba90ee31e548ec30ebda48d582e882ef4395b90a57b6e3f,2328,115,500,1006,256,1262,2.451928,,,false,false
CBSPAN-20260728-9007ccef14686fe8315477c6,rating_lane_001,live,1,resp_0cbd1661d2511004006a695caeb4688195a4d8cf57e5734a69,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a8f21f8a66a75d76f648e389dea85c9129a51e57ff9aa643f4f364c575158e94,2304,73,500,1006,282,1288,2.755203,,,false,false
CBSPAN-20260728-523b59273d565bf98b8ad5a9,rating_lane_001,live,1,resp_0ada9505ac6094d6006a695caeb1bc819787db1aff62d317d0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,21885f752eddbbae985e967374fdf6aea979d091f9494b23d588fbb1d75adbb9,2317,82,500,1005,461,1466,5.100802,,,false,false
CBSPAN-20260728-945322d599b7aa60a5304e50,rating_lane_001,live,1,resp_0e766ba92ea8528b006a695caea8a881968a1f4d71197746d2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f4de389174d736bbeec9b6596be61db3ddaa262d679b898421a32a95d272d6e8,2272,62,500,1001,244,1245,2.388691,,,false,false
CBSPAN-20260728-05151468177d4acb20a2977b,rating_lane_001,live,1,resp_0f25bbe3d9eaf6f3006a695caeae7881938728d9d2b05e3502,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,ef2b9446c82edfb93961a24bb72516f899a1c128e9d18ecdde5e4846b92736cf,2312,92,500,1012,260,1272,2.393815,,,false,false
CBSPAN-20260728-5719d9075beec0c381e89743,rating_lane_001,live,1,resp_0cfa50b8ee59a511006a695caeb1fc81948c62fb119bee7fb1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,37eb5dc0fbc1917e5b2341bd30beeab3f1ed9d1fa9459e5e33a94cef5bb39030,2326,95,500,1030,352,1382,2.987568,,,false,false
CBSPAN-20260728-4ff948cfeec046a60abdfed8,rating_lane_001,live,1,resp_03b22c3644ab1bb5006a695cb0e2c48197aae1f2428a62cad2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,effb7426515f5edfb684d624e29e17c8a05e546eac6c8f99a12bfbc42632d385,2272,31,500,996,222,1218,4.328163,,,false,false
CBSPAN-20260728-561bd1a3495c8b143e129f69,rating_lane_001,live,1,resp_0146321c68406f87006a695cb108448194992fd0b3de31284e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,9e249c20d043ebf6a44689b53588aed614ef55713b4fdea8ba51507fa0235099,2297,63,500,1003,308,1311,5.168809,,,false,false
CBSPAN-20260728-e009a3beb4d90ce912c9fc7e,rating_lane_001,live,1,resp_09f3a497b4d1fda8006a695cb108a481978cf53f42b8f0face,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,181d94c83110bc3d210ea024e4da60b6c0309a2eab5bea1c7a0ac79926f49fc2,2088,70,285,955,195,1150,4.305550,,,false,false
CBSPAN-20260728-425991fa7aac2238ba8cc9ef,rating_lane_001,live,1,resp_0d28267da41237bf006a695cb1153c8193b2d3d71cb87dc117,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,20f34f0f0b0614e50cd0a3455a4c82e46ee5f3171be12a740852ba951387aab8,2336,105,500,1007,270,1277,5.048062,,,false,false
CBSPAN-20260728-a323aff8db87113112d3eef1,rating_lane_001,live,1,resp_02ca954bd3846d40006a695cb1603c8193b72120c7c332b4f1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,bad39784a88d4c9d95359559f90d1018288b9a7b9d8f7b7ea04bcd45320930a2,2316,83,500,1029,375,1404,5.652745,,,false,false
CBSPAN-20260728-ce45ce1ab5dc57923b2457cf,rating_lane_001,live,1,resp_0f9c2d6691845f00006a695cb19e688193a29e74bf119025b2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f78246ca0ac9f48065c14bdd412a6bda7686b647e6a11ac52a474376080c4331,2331,102,500,1033,316,1349,5.494532,,,false,false
