targeted_qa_resolution_id,review_queue_row_number,review_type,extraction_case_id,page_number,lane,source_observation_ids,source_observation_count,resolution_classification,resolution_status,quantitative_action,non_base_wage_action,reference_action,retained_quantitative_observation_ids,routed_quantitative_observation_ids,reference_only_quantitative_observation_ids,created_non_base_wage_observation_ids,created_reference_ids,structured_basis,bounded_evidence_pointer,local_evidence_inspected,reason_codes,confidence,unresolved_flag,notes
qares1000_e50ebc3fadd1aff34013c0ec,11,potential_quantitative_conflict,cex_2725ce85072faaaec2cdbad1,13,quantitative,qobs_9fcb94e9597ebf527d924ee1|qobs_12c1b866c367938eef5b86ab,2,non_base_wage_misroute,resolved,retain_pay_rule_and_deactivate_exam_credit,no_change,create_corrected_reference_record,qobs_12c1b866c367938eef5b86ab,,qobs_9fcb94e9597ebf527d924ee1,,refqa1000_bf0d4a7c2d7d544e554cce16,"The 1% value is promotional-exam seniority credit, while 4.7% is a distinct promotion pay rule.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0165_sr_823d9d4ff628a0e6c71b1587.pdf#page=13,structured_fields_and_bounded_local_page_text,PROMOTION_EXAM_CREDIT_NOT_COMPENSATION|PROMOTION_PAY_RULE_RETAINED,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_e29b8a6c824f92a1b959b1f6,12,potential_quantitative_conflict,cex_f21d2a741f1eed04e42e0c2d,9,quantitative,qobs_12e05d4539d49c320b1275be|qobs_1cae30f385752047fe790fac,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,no_change,qobs_12e05d4539d49c320b1275be|qobs_1cae30f385752047fe790fac,,,,,The bounded page applies 80% and 100% of base wage to first- and second-year officers.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0206_sr_e7d16387446eae680fc8cfb4.pdf#page=9,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_991cb535c07cdc0a6ae0b104,13,potential_quantitative_conflict,cex_1b9c6dcb6ff5f24f67c20a67,10,quantitative,qobs_cf92a3dc861c1c2875f3d418|qobs_de6479fbf8ec223f065e14a9|qobs_c05dd38f896d227982e6bea6|qobs_c9060d480445805c2541a7dd|qobs_59342470b69745f2a0d2239b,5,distinct_effective_period,resolved,retain_distinct_active_records,no_change,no_change,qobs_cf92a3dc861c1c2875f3d418|qobs_de6479fbf8ec223f065e14a9|qobs_c05dd38f896d227982e6bea6|qobs_c9060d480445805c2541a7dd|qobs_59342470b69745f2a0d2239b,,,,,The salary schedule prints separate 2018-2022 annual salary columns.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0231_sr_665ea175902fd4406293ad90.pdf#page=10,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_4f63f3b0392e10a5edaef03d,14,potential_quantitative_conflict,cex_428a4513531604e90be3225f,21,quantitative,qobs_e358cfb5772df5cf1eec2a1f|qobs_fccaa642b32c214385bdbc11,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,no_change,qobs_e358cfb5772df5cf1eec2a1f|qobs_fccaa642b32c214385bdbc11,,,,,"The page uses 2,538 hours for shift personnel and 2,080 for 40-hour personnel.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0399_sr_fc81981a4a823d0ab79e75ce.pdf#page=21,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_b05086011cce86150f7cfcc1,15,potential_quantitative_conflict,cex1000_66fd40504285e5df2ac22a86,129,quantitative,qobs_4d58950a8e7886b42bbf01e1|qobs_7d2d1296300d466b673b240b,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,no_change,qobs_4d58950a8e7886b42bbf01e1|qobs_7d2d1296300d466b673b240b,,,,,The bounded chart compares separately labeled firefighter classifications.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0126_sr_3d258878af7fa51559495cdb.pdf#page=129,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_3cbd317bd7c5f7442d1c6a56,16,potential_quantitative_conflict,cex1000_a433284429fdbc3027ca08a8,22,quantitative,qobs_2c533fedde4387fc80a64c4a|qobs_fc59bf9c9b4f6c74ddc33276|qobs_f27f169d4d0f033719de6e3c|qobs_c059d2f4a1a9fd9227abd43e|qobs_359877707504f1764ef7b6d4,5,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,no_change,qobs_2c533fedde4387fc80a64c4a|qobs_fc59bf9c9b4f6c74ddc33276|qobs_f27f169d4d0f033719de6e3c|qobs_c059d2f4a1a9fd9227abd43e|qobs_359877707504f1764ef7b6d4,,,,,Five separately printed regular-work hourly-rate cells are visible in the table.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0046_sr_9e38844c9b5707dc4ebc2517.pdf#page=22,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_5080cf9a2afbad75cede3c52,17,potential_quantitative_conflict,cex1000_a098483d4d8fd43b46903074,18,quantitative,qobs_16dae25d828950a27b5d7574|qobs_f889c9be1c2ea89d53beb945|qobs_f88e74495f086a3c973274ef,3,distinct_effective_period,resolved,retain_distinct_active_records,no_change,no_change,qobs_16dae25d828950a27b5d7574|qobs_f889c9be1c2ea89d53beb945|qobs_f88e74495f086a3c973274ef,,,,,"The bounded agreement records a sequence of 0%, 1.5%, and 1.5% negotiated wage increases.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0205_sr_95a9fe0c2908e5159d3ab63f.pdf#page=18,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_a19b9c2ff006656a3ac138a1,18,potential_quantitative_conflict,cex1000_05141b9ad9c78b9478ae3142,22,quantitative,qobs_6c0b40d7c4b2bd4a1c915e42|qobs_e910a6c3b8d77796f548a1bb|qobs_0ee2d9d3ea75cce4cecdd2f3,3,non_base_wage_misroute,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_records,no_change,,qobs_6c0b40d7c4b2bd4a1c915e42|qobs_e910a6c3b8d77796f548a1bb|qobs_0ee2d9d3ea75cce4cecdd2f3,,nobsqa1000_85a70606ed4156b0aa1ccf1e|nobsqa1000_5d15d5f013e36830d5a7172e|nobsqa1000_376ffa4d5add40cd448a74f1,,"The page identifies degree-based one-time base-pay increases, a certification/education premium family.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0266_sr_a9bab58d1b0b638d379df5ed.pdf#page=22,structured_fields_and_bounded_local_page_text,CONFLICT_GROUP_IS_NONBASE_EDUCATION_OR_CERTIFICATION,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_715d89339d2b6245fc63de30,19,potential_quantitative_conflict,cex1000_bb94b3a47589687bfa15a57f,11,quantitative,qobs_bcf614863c1283ef21f50f09|qobs_b6b5686df5996fd526b9673c,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,no_change,qobs_bcf614863c1283ef21f50f09|qobs_b6b5686df5996fd526b9673c,,,,,The same-grade values belong to separate Service and Tax schedules.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0325_sr_68e3d158c28de3edd75bd0cd.pdf#page=11,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_7a2e7ccd9bca35ae12d881a0,20,potential_quantitative_conflict,cex1000_bb94b3a47589687bfa15a57f,11,quantitative,qobs_b4a8ba6882648b0701533c87|qobs_05cafd3ebd6a0a4b06934d47,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,no_change,qobs_b4a8ba6882648b0701533c87|qobs_05cafd3ebd6a0a4b06934d47,,,,,The same-grade values belong to separate Service and Tax schedules.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0325_sr_68e3d158c28de3edd75bd0cd.pdf#page=11,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_4a9ef7adc676e7a9ec26b529,21,potential_quantitative_conflict,cex1000_717c3b80483aec1697f186d5,24,quantitative,qobs_835149ee462e6637e8f8700f|qobs_ef9a2d125eabc39f794099c6,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,no_change,qobs_835149ee462e6637e8f8700f|qobs_ef9a2d125eabc39f794099c6,,,,,Step 1 values belong to separately printed operating-engineer classifications.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0288_sr_002df81a6f483ea97d9378b3.pdf#page=24,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_1f3f5c5bd967e71557d15e57,22,potential_quantitative_conflict,cex1000_717c3b80483aec1697f186d5,24,quantitative,qobs_b675a2e53a04a44de33bc59d|qobs_3f9b49ed145bb678d54a2852,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,no_change,qobs_b675a2e53a04a44de33bc59d|qobs_3f9b49ed145bb678d54a2852,,,,,Step 2 values belong to separately printed operating-engineer classifications.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0288_sr_002df81a6f483ea97d9378b3.pdf#page=24,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_fefa839c892ae55507118e54,23,potential_quantitative_conflict,cex1000_35dc3daf0d4fcd0332f7d0e2,8,quantitative,qobs_e7d065a47ede9da2ca9c9bf4|qobs_c702c01aaa380ba5421a63ef|qobs_642603a66adb930a4bc11f89,3,insufficient_evidence_needs_review,unresolved,retain_active_flag_unresolved,no_change,no_change,qobs_e7d065a47ede9da2ca9c9bf4|qobs_c702c01aaa380ba5421a63ef|qobs_642603a66adb930a4bc11f89,,,,,The extracted rank conflicts with the visible schedule row and two records were already marked ambiguous-column captures.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0271_sr_0e186e8cd29f03e5892256ea.pdf#page=8,structured_fields_and_bounded_local_page_text,BOUNDED_EVIDENCE_REMAINS_UNDERSPECIFIED,low,true,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_b0df27548071e45182290036,24,potential_quantitative_conflict,cex1000_af84a371c33fa01fd46e1def,9,quantitative,qobs_44c176d723a45d092b70a220|qobs_2a4ff935eacf0887f6e17bf6,2,distinct_effective_period,resolved,retain_distinct_active_records,no_change,no_change,qobs_44c176d723a45d092b70a220|qobs_2a4ff935eacf0887f6e17bf6,,,,,Battalion Chief values are separately printed for 1/1/19 and 1/1/20.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0181_sr_609637bfe2d8768ded3d56f8.pdf#page=9,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_4e076e89eb4f052eef840772,25,potential_quantitative_conflict,cex1000_af84a371c33fa01fd46e1def,9,quantitative,qobs_fe46d8e0f5e88cafcd12fcb9|qobs_ec129e9ee12c9cb34b781063,2,distinct_effective_period,resolved,retain_distinct_active_records,no_change,no_change,qobs_fe46d8e0f5e88cafcd12fcb9|qobs_ec129e9ee12c9cb34b781063,,,,,Lieutenant values are separately printed for 1/1/19 and 1/1/20.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0181_sr_609637bfe2d8768ded3d56f8.pdf#page=9,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_bfe3579a9b2d48c30a7d2255,26,possible_non_base_wage_quantitative,cex_6967b92238ab419d9d658bb2,33,quantitative,qobs_1547f92c49fc4ce216b399eb,1,route_to_non_base_wage,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_record,no_change,,qobs_1547f92c49fc4ce216b399eb,,nobsqa1000_14555ffc914fee04e3f0b6ec,,Structured values/reason codes identify the explicit non-base family: overtime.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,structured_fields_and_bounded_pointer_only,EXPLICIT_NONBASE_OVERTIME,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_a23adf16c1ace17bf5ba70df,27,possible_non_base_wage_quantitative,cex_98090552e5e889272128f1bd,16,quantitative,qobs_673e6f469f6383819adafc05,1,route_to_non_base_wage,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_record,no_change,,qobs_673e6f469f6383819adafc05,,nobsqa1000_516c80d6759c1d70085da880,,Structured values/reason codes identify the explicit non-base family: stipend.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0071_sr_7779b0eddb1962bddabfa357.pdf#page=16,structured_fields_and_bounded_pointer_only,EXPLICIT_NONBASE_STIPEND,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_1c7180cd12a9dd701da50971,28,possible_non_base_wage_quantitative,cex_a8b0a89bfcd3f21db563404c,12,quantitative,qobs_ac77bd3dea6ab8d7d6c0b514,1,route_to_non_base_wage,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_record,no_change,,qobs_ac77bd3dea6ab8d7d6c0b514,,nobsqa1000_8cb73e4deeb044017f4f2196,,Structured values/reason codes identify the explicit non-base family: uniform_or_equipment.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,structured_fields_and_bounded_pointer_only,EXPLICIT_NONBASE_UNIFORM_OR_EQUIPMENT,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_5e820d6a525bd2650af680b6,29,possible_non_base_wage_quantitative,cex_a8b0a89bfcd3f21db563404c,12,quantitative,qobs_b9d202876deeb73aa2f4549d,1,route_to_non_base_wage,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_record,no_change,,qobs_b9d202876deeb73aa2f4549d,,nobsqa1000_ac007894589648e6a297584e,,Structured values/reason codes identify the explicit non-base family: uniform_or_equipment.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,structured_fields_and_bounded_pointer_only,EXPLICIT_NONBASE_UNIFORM_OR_EQUIPMENT,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_9df1c6519e246b2fad9ab2ca,30,possible_non_base_wage_quantitative,cex_ab58f60853f3f470ab7b4550,3,quantitative,qobs_9d0a3ae3960edef12c082109,1,route_to_non_base_wage,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_record,no_change,,qobs_9d0a3ae3960edef12c082109,,nobsqa1000_876d3ef1f66d494f6aa84ce8,,Structured values/reason codes identify the explicit non-base family: benefits.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0242_sr_76bed5969ee1e8fe0e7e6b78.pdf#page=3,structured_fields_and_bounded_pointer_only,EXPLICIT_NONBASE_BENEFITS,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_126b7c03e741f753fefd2e2c,31,possible_non_base_wage_quantitative,cex_a34c43b943e92d4c5dfd1ec0,12,quantitative,qobs_12675747f529cc22643d267a,1,route_to_non_base_wage,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_record,no_change,,qobs_12675747f529cc22643d267a,,nobsqa1000_37228930ca4d2de7869fa5e3,,Structured values/reason codes identify the explicit non-base family: overtime.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0218_sr_a7f9d97071b761d1975ad5f8.pdf#page=12,structured_fields_and_bounded_pointer_only,EXPLICIT_NONBASE_OVERTIME,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
