packet_id,retained_source_id,rating_lane_id,stage,attempt,request_id,backend,model,status,schema_valid,input_sha256,input_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
BRMGRP-20260802-9af68facc06e10813b777258,RMSRD-20260802-3df6c8a5f616eb28ff4a,gabriel_rating_lane_005,live,1,resp_0d523413da2bcba1006a6fc43b4da881979e0c63d02d766b3f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,db3d8de0e56d4418ab9ed80ca387f0c6861f9fa0bf0b2f409174a5fe3b18c588,18243,5111,4611,9722,29.391841,,,false,false
BRMGRP-20260802-046fd02b7afc70290676edda,RMSRD-20260802-99d453f33ffa7962e809,gabriel_rating_lane_005,live,1,resp_008a1470234a1b5f006a6fc43b50308195a3f8ae7ecbdbfb81,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,e4a58bb674c4aaf13787002e3ee6a13499eeb11e656de49cf183c674eef13efa,18846,5041,4680,9721,26.821695,,,false,false
BRMGRP-20260802-30e86a3820ba8055b9696b37,RMSRD-20260802-e96b30acf008d2d38c4c,gabriel_rating_lane_005,live,1,resp_0735b4ce30efe36d006a6fc43b4e548190b31f53013dd414f4,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,ae66961d76b19392cb80bc6de721407e58e6aca80bbd965bc3f5dfcf3f9b3776,17341,4800,3800,8600,22.591840,,side_relevance_overclassified,false,false
BRMGRP-20260802-30e86a3820ba8055b9696b37,RMSRD-20260802-e96b30acf008d2d38c4c,gabriel_rating_lane_005,live,2,resp_0f39a3320b6cd0bc006a6fc458da548190a06317040223a5d9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,31313f2f34be281277ab939d2c24ebabffd7053a92c98a5c09231432d60918ac,17482,4824,4861,9685,38.670013,,,false,false
BRMGRP-20260802-d991d931a68ac3351dc16ce5,RMSRD-20260802-cc8d735eb4e554f0f5e7,gabriel_rating_lane_005,live,1,resp_0ec7498cfe71fb1b006a6fc47f70f88193b80cf0a4117995a1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,3e754e067244af8708311a0213c962548362b15b99072f9e65464700fef40452,17968,4933,5541,10474,31.962774,,span_membership_changed,false,false
BRMGRP-20260802-d991d931a68ac3351dc16ce5,RMSRD-20260802-cc8d735eb4e554f0f5e7,gabriel_rating_lane_005,live,2,resp_06eb7becb70fbf90006a6fc4a3059c8190b0b8fe7fbf426201,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,e7e7ad5fa0d619f4247630f957711b296260c36b078cd318bd814848a118e1bf,18109,4957,3987,8944,27.746959,,,false,false
BRMGRP-20260802-8a58800e21165fb54e4ad83f,RMSRD-20260802-a9df2a7e998afe1e3edc,gabriel_rating_lane_005,live,1,resp_004d7359f30ac2f7006a6fc47f6ca88190b37a5ff01c4eb0b1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,65df014dc23b679d2f74fed12129d5343e11e55152de6fecc4e0ff8b49f7db19,17729,4721,5520,10241,35.586035,,,false,false
BRMGRP-20260802-d4f2eea35fae84698eada7ab,RMSRD-20260802-d31c07206068547d0bf2,gabriel_rating_lane_005,live,1,resp_0b5f6f6570386c1b006a6fc47f6b3c81908d5d9653f56e36c3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,fc7a36a52cd1ce2f6e3c8f55ce1f881da95ad19c8b4211fe072a77c92f9138f2,17288,4762,3911,8673,22.961330,,,false,false
BRMGRP-20260802-19d572a5d1f2b4761960a34e,RMSRD-20260802-c37b1d19a79aecd49f8b,gabriel_rating_lane_005,live,1,resp_0b8dd248298e643c006a6fc47f6d74819388573691686a38fc,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1e3f9c573a1c0cfde093d603ca053d65b7e8b2f54e64e3d4ded4da08bf1b71ef,17578,4791,3953,8744,26.212702,,,false,false
BRMGRP-20260802-054d60c1b668b59191ab7283,RMSRD-20260802-1c69af1ef6d2809409e1,gabriel_rating_lane_005,live,1,resp_0059b14a639cc3d6006a6fc47f6c10819484a091d164c9009e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,22f9a437846b8d2ba1873df52eb98ff8a891ebf3c6d6b53e83a289db5db78fed,17778,4766,4281,9047,26.828931,,,false,false
BRMGRP-20260802-dd210d2c5e0cf460df4c8709,RMSRD-20260802-70a146b5febc1442d29c,gabriel_rating_lane_005,live,1,resp_01faa0a71f6bc483006a6fc47f69d08195a229b5a1aad789d9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d80bd5eb37d923b84b4ff095c900d873a201ebcfe143c43d9146b07c3875e187,17544,4774,5204,9978,32.047128,,,false,false
BRMGRP-20260802-7831e0d1581b9bd11d52127e,RMSRD-20260802-8dce29078517787f245a,gabriel_rating_lane_005,live,1,resp_01a1fa1199b80628006a6fc4becf508197ba14f086c1bc9e72,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f27f8b44db4d47138ce32d45fe8443e7baca90a8167f694c86873c2d2e44b592,17823,4589,5635,10224,38.518771,,,false,false
BRMGRP-20260802-fb4b0787bf3f2b964cdc61c9,RMSRD-20260802-8f6d11c9a179d34d5f00,gabriel_rating_lane_005,live,1,resp_0536dd0ebede48c0006a6fc4bec7848196ab9396ed13283990,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,65bd27d1f04ce8c56982378398c4a8e43cfe7ab27efce69028f6057b4480da33,17419,4477,3639,8116,25.039895,,,false,false
BRMGRP-20260802-df94e7449a5f109c62645b2c,RMSRD-20260802-523ce83a5c5ba428e351,gabriel_rating_lane_005,live,1,resp_0f4faa48090b4e74006a6fc4bec9488195830f6a04a4be7b2f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4038523b3e8e164949c6f336e8dfd7162e659fcce289ae97513d17e5d72dc5d2,18317,4919,4949,9868,30.211397,,,false,false
BRMGRP-20260802-3500899e6748f5e0ccc6ac09,RMSRD-20260802-9f8e4666156da694ae57,gabriel_rating_lane_005,live,1,resp_017db5bbf39982d9006a6fc4bece2c8196b6eb8a601430e8f8,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,3aa083c920def6e7fab36dfb800591c6cb4315ff27d1886f11553b43a79119a2,17786,4799,4253,9052,25.402848,,,false,false
BRMGRP-20260802-07ab36b77c18d50f7511156c,RMSRD-20260802-9a6c5a78da308a02aadd,gabriel_rating_lane_005,live,1,resp_01a06020fb3d8e25006a6fc4bec9fc8193a6c43d36755aeef9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5731c0b7a433fcbc6dd02d3b5a00394099ddc3e8d557063cb7e6453d2e9f349f,17495,4607,3643,8250,22.696753,,,false,false
BRMGRP-20260802-43687b95ad686165b55c3b9a,RMSRD-20260802-7f3a4f5d7f20beadfd2f,gabriel_rating_lane_005,live,1,resp_0921898006f4e517006a6fc4beec148196a4839641f003f742,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,588a1f9340b460d9b40e4b1d8821524ee120e2efbefe926c4a38b36729048a80,17683,4836,3946,8782,28.827133,,,false,false
BRMGRP-20260802-539cd1dabbdbdae5d7f5da3c,RMSRD-20260802-8baf1b908062b8b9e70e,gabriel_rating_lane_005,live,1,resp_0a8d0a7a936f7792006a6fc4e558c881958755f0c58a40c35d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f5b59b3784f3f60d20fbf13f2520d893b03bb01bb29bedbad4ba5bef031022ef,17339,4640,3957,8597,26.772599,,,false,false
BRMGRP-20260802-f484a04022073fd36a4af41b,RMSRD-20260802-5a0cebb79452466bb4f9,gabriel_rating_lane_005,live,1,resp_0a7e22af260dd58f006a6fc4e55f4481968d3be60e6c8e76e4,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6e14774f37f87204aaffacd2e8491b772abc73f13829468719809d2f70eee8a2,15600,4244,3966,8210,30.769077,,,false,false
BRMGRP-20260802-0f7bba5779f1278c2d5af635,RMSRD-20260802-d31d49ddd22bda123a5d,gabriel_rating_lane_005,live,1,resp_0b6d43117957dcf6006a6fc4e5503081958ab2d4400c21e6fb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,0ebf44948001b9a35cd2bfef1036146c425350b894360a822dec2ec8191947e3,17419,5132,3695,8827,25.040077,,,false,false
BRMGRP-20260802-f5c38cb2f1cff88cbb67ed91,RMSRD-20260802-282595541c7b86ba32f6,gabriel_rating_lane_005,live,1,resp_044e9bd737f449e3006a6fc4e55ab88190a83f9b30e0b9b9a3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,e86c948ea2d558e3a61adc07a3a3cbceac2f897301aa4e0f1240d6d299ad5a11,16199,4422,4057,8479,26.889478,,,false,false
BRMGRP-20260802-a8758a05cfbe3251b15edbf0,RMSRD-20260802-a3c24c6a3f0cf6599fb2,gabriel_rating_lane_005,live,1,resp_0c7809338d24d055006a6fc4e5597c8195abafd4754456eeed,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a8288abc3ea2d5a50f6ba170b997268cb5a5fd88a231d520830cf808b2622e8b,16337,4417,3706,8123,22.677684,,,false,false
BRMGRP-20260802-0f6dcd0ac57d0b656176d724,RMSRD-20260802-fcc6bfb98661566c2e4e,gabriel_rating_lane_005,live,1,resp_081a12bd1dba9362006a6fc4e55c2c8195b31e40d604c014cc,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,ec221ef64d71793e728d4fd88e20ba524a1c9d3eaf00ec2cb039e8e3614f21ec,16821,4449,3963,8412,26.840825,,,false,false
BRMGRP-20260802-c003ba151f2dd43327b06c7b,RMSRD-20260802-bb5e18b2381a21d766cf,gabriel_rating_lane_005,live,1,resp_0ee5394f578c1274006a6fc50421ec8190beda46c06bc8dc01,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,55c2fb39c85273d8e5deb15523bfadd6a0635517dface8d3ca60e651b3a3df25,16384,4298,4922,9220,33.890943,,,false,false
BRMGRP-20260802-9db599b23fd9bf704ec901a1,RMSRD-20260802-fbda4571ce972ca0cee2,gabriel_rating_lane_005,live,1,resp_07f95471ee5c0c81006a6fc504247c8196bba297a1dfb991dc,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,05c1ad3272a6371deccce2ee3ec48fd09ccfa0f94276a2f6938eda86d2de258f,15295,4201,3940,8141,24.100952,,span_membership_changed,false,false
BRMGRP-20260802-9db599b23fd9bf704ec901a1,RMSRD-20260802-fbda4571ce972ca0cee2,gabriel_rating_lane_005,live,2,resp_05fc014be19e4bd9006a6fc52691208193970542567c07c564,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2c7e2e912ebaa15c6bcad0531e5623a1d63c2e85378fa56fb2264f13cabae866,15436,4225,4223,8448,28.931633,,span_membership_changed,false,false
BRMGRP-20260802-3511a1142fda358758704e94,RMSRD-20260802-6c6b4c08c551a3be5747,gabriel_rating_lane_005,live,1,resp_0801a38f1ddee3ee006a6fc504234081908bdc6ad94351b0b9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a893e426edaac4ccdefaee9ede9650d978b8bd6579f5f6e1ce2445b4eea04fe8,16476,4566,4486,9052,25.969836,,,false,false
BRMGRP-20260802-a72253ec0829c652e942642d,RMSRD-20260802-5db2959b66e2de9f56cc,gabriel_rating_lane_005,live,1,resp_0f411370fce909ee006a6fc5041d3c8194b35e2f595e47037a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5819994bdbf6f836869ff5b820b75108085cff09ac266cdaf52da7efa33e920f,15571,4232,3363,7595,20.737906,,,false,false
BRMGRP-20260802-893d44c3fa2d26e43ae57f8b,RMSRD-20260802-964b8e8275a2434c905b,gabriel_rating_lane_005,live,1,resp_04c22ab151ed7885006a6fc5041b008193b6c4195613d86485,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a702b59899ab1245e7f142da65796b98630c6993e16f6cd3e3e4409db6814f57,15522,4279,4184,8463,29.011887,,,false,false
BRMGRP-20260802-e1c83e3908af143df90d8950,RMSRD-20260802-319d70564eeb787b0e58,gabriel_rating_lane_005,live,1,resp_04ccdd4a5048b153006a6fc50419dc8196865c3c6152a1adb9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,e5169c948df4ba73d8ca5c77abdb29738ba2e9aab8855385c0720a6373b22a10,15490,4208,5036,9244,31.660483,,,false,false
BRMGRP-20260802-b3090cace6ef42d64a4d99fd,RMSRD-20260802-276a80118e3ce0ff405a,gabriel_rating_lane_005,live,1,resp_0a37e27b4366739a006a6fc54318f08195b9338e94339ef3c6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,9ce12eb2e5dd01c074df53fa1108f3af76f0dbed32fceb8e71743032571e04cd,15206,4162,3516,7678,21.225641,,,false,false
BRMGRP-20260802-3dcdc9c354217255e6a3db2e,RMSRD-20260802-d28ef0a181265e52d645,gabriel_rating_lane_005,live,1,resp_077b9d0ed2830129006a6fc54310e08194bb4ab4a26a0f9aa0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,77c5412d4333f71966f8280e627e3f952db2a419a5571e8c0e63be0a05407091,14911,4091,3398,7489,20.565314,,,false,false
BRMGRP-20260802-2da778431dfadbeb164d80b4,RMSRD-20260802-5d7f3892cebe342bc04f,gabriel_rating_lane_005,live,1,resp_014ce489de17d323006a6fc5430bf88190879ae964d6b47575,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,8bb63c722c27cba452594af3882f86bc4e359ade316d1419d62dcc83e8dc012b,14929,4110,4610,8720,32.460496,,,false,false
BRMGRP-20260802-66572d74e8c66453d1306905,RMSRD-20260802-7905a0b02aa5430f4543,gabriel_rating_lane_005,live,1,resp_01a0dd40b04b8a96006a6fc5430b688194bef3bfeeb8c4e8e8,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,ef79900340dfa0d2239ea16f32c404c23af5357f774879146ad659ae923f5dca,15570,4321,3278,7599,21.823406,,span_membership_changed,false,false
BRMGRP-20260802-66572d74e8c66453d1306905,RMSRD-20260802-7905a0b02aa5430f4543,gabriel_rating_lane_005,live,2,resp_0a8b3c14711c4cbc006a6fc5677f508195bc6d1a02bc66cbfb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,750ec2276877ec5d5410d3784e284e8ecf48857559c2bf6b66be8d8355102a55,15711,4345,4739,9084,34.720770,,,false,false
BRMGRP-20260802-b6f4cd70ee04550d61e94618,RMSRD-20260802-2900b93b32291bf5d2ac,gabriel_rating_lane_005,live,1,resp_0ef574219eb0945d006a6fc54312c081948c2257e9447e4b0f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,89150c85e33bf75f1de2bd995e22508f9e9a604b232359377a46e9e1cda88909,15438,4211,5300,9511,36.296602,,,false,false
BRMGRP-20260802-ea4e090b2ed33b2eda1a8bfd,RMSRD-20260802-9021c846b2752a2038a5,gabriel_rating_lane_005,live,1,resp_0e9908289ecd93e1006a6fc5430e488190a340e817d0c41036,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,9601d584d77403bbcf3e8e14c4e62d46afcec370bd8b81e97919260130ac5a29,15144,4163,4731,8894,32.139818,,,false,false
BRMGRP-20260802-d9611f2f4f81edd06ccc18c8,RMSRD-20260802-7bed625ed84314faee15,gabriel_rating_lane_005,live,1,resp_0c694594ef9ff5e6006a6fc58a25888195b64c26c951d0de24,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,59022b0ca35ae18e70e9683cfaa44940ef4a29bf555bcce9fc55d7980dfa0efc,15255,4217,3626,7843,29.184876,,,false,false
BRMGRP-20260802-c168b9b5fb3fa695af58af04,RMSRD-20260802-a737bba8e688ccea202d,gabriel_rating_lane_005,live,1,resp_0599fbbe71818595006a6fc58a1d8c8196a0a7ff6140856c89,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,4a0c1ef5e898e28027aec74fbf9ec203094494a3fac3f4c545cf05a8357eac28,15313,4164,3419,7583,23.532978,,side_relevance_overclassified,false,false
BRMGRP-20260802-c168b9b5fb3fa695af58af04,RMSRD-20260802-a737bba8e688ccea202d,gabriel_rating_lane_005,live,2,resp_06a2e304a5f0d8d1006a6fc5aac22481949196cd588436aa2c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4ec97d21e5bcd117a2dee668abb376440f218d0f37c3412998062f22c3302d5b,15454,4188,3346,7534,21.410448,,,false,false
BRMGRP-20260802-437a1bb53ffce282e4873447,RMSRD-20260802-c85f078758e45b4dd625,gabriel_rating_lane_005,live,1,resp_0aac4789630b9a7e006a6fc58a1dd88195aee7f9805e2669e3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,31f22768d8f67978f510468ca961be18a9d62e354bd95e9f1cdfb16533230dca,15926,4126,3503,7629,19.921092,,,false,false
BRMGRP-20260802-9a6548b66b079fb2e46ba461,RMSRD-20260802-5f14ceba77703c7d0a40,gabriel_rating_lane_005,live,1,resp_05a7277b96ebfbe9006a6fc58a1c948196b3ec8b55f9212233,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d69804b6fa0dcb353503ed57c8fe037c12190ab29618d2087178e77eba26c40e,15687,4171,4941,9112,32.668856,,,false,false
BRMGRP-20260802-fe2991839b3548dd99e2bd0c,RMSRD-20260802-dfc3768a709d935963b8,gabriel_rating_lane_005,live,1,resp_0b0093e412b24bad006a6fc58a28d08194bd52c7c071071279,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,372c2b8af7cddcaf85fcb6e790a3a3b3ce9537aee02ed6ca87f41c3aff9f9630,15367,4145,3997,8142,23.289978,,,false,false
BRMGRP-20260802-5b61bfad3bb825c61d25a1be,RMSRD-20260802-8c5d0151e748d50ce09e,gabriel_rating_lane_005,live,1,resp_020b0114a3da0b3a006a6fc58a1e188197bbe8b9cee2d9b63f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f053c7af4fe36cc6d2d354498fcb274d53c3dbd5e9ea83f1d5be81c84dcb1f36,14707,3996,3049,7045,17.901799,,,false,false
BRMGRP-20260802-4c2eecc5e2bf9d5db3b1bef2,RMSRD-20260802-e7363f570a0328b75fe3,gabriel_rating_lane_005,live,1,resp_0786e0eaf4f19ca9006a6fc5c036a48197afad51787b110296,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,438a89ab33b99acbfbb34fbf5ccc46af0b952d97eace6c32a82ed5486c23b8f0,15173,4016,5179,9195,34.539532,,,false,false
BRMGRP-20260802-3220d475a63a347caec96795,RMSRD-20260802-5b4acb50c61111251995,gabriel_rating_lane_005,live,1,resp_00f35c85b1663624006a6fc5c046bc81938dda5d43f8318226,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1355971867e26efcdefc929abb72c28765aeaa5a14f702cb249993d53d909e9e,15003,3957,3403,7360,24.583494,,,false,false
BRMGRP-20260802-1ca5869dae2bdfda35bf2329,RMSRD-20260802-87e592fb25ad55dff546,gabriel_rating_lane_005,live,1,resp_06e5fd73433a7664006a6fc5c04520819083668964b50a7cda,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,dab75b5884fa303f8c036acde2ca7d854692ee9ae403ee41fd0878c9bae6121a,15292,4163,3302,7465,21.807144,,,false,false
BRMGRP-20260802-45fcc27b829d0b185658f5e9,RMSRD-20260802-a4c6355c90c84b213602,gabriel_rating_lane_005,live,1,resp_041fc84f099e1631006a6fc5c03ed48197a3fad5b147ee74a1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,d5a3b1490dd8773365fd3559a85d77547f97f2874814f65d254790cb1d976f2f,14943,4123,3120,7243,23.279377,,,false,false
BRMGRP-20260802-5a5332667cfff2e5445bd13f,RMSRD-20260802-e2e96eaf7e3c4ca72fd1,gabriel_rating_lane_005,live,1,resp_03fd6c91c69ca6bc006a6fc5c041a08194bbc7ab306c51413c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,9d30223ad76efed9ffebc6c6b7e64163e55a01270049850f85da973e808b58fe,14540,4123,4421,8544,37.146657,,,false,false
BRMGRP-20260802-303465241b71c64989324071,RMSRD-20260802-36bb00208f47b13b7d34,gabriel_rating_lane_005,live,1,resp_0b27e1342dc8da20006a6fc5c04638819083cf90032ce4d8cc,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f3a4d255759908532bc70680764469c95bcf36ea752cde4116352124f9807b85,14297,3910,3442,7352,24.572785,,,false,false
BRMGRP-20260802-3a45a1bcf1bd6e07b9cfa6d5,RMSRD-20260802-03ff3ceee4d6f34a53e1,gabriel_rating_lane_005,live,1,resp_05daa6cabfba5c2d006a6fc5e568a88193ac328fff1d460657,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,85f5a4becfbad66634d6581cdbc3df1e62297d90f698057d035089e6b7b6ebd5,14783,3996,3264,7260,21.724916,,,false,false
BRMGRP-20260802-fb862f64a892a86278b28b51,RMSRD-20260802-df17f4f8cb508dae8b25,gabriel_rating_lane_005,live,1,resp_051fc4cb2395cec5006a6fc5e567c08195aefb993de940a162,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,beedc8e4bae6fe09ea6d9e9bf34fca29e7c0703ad0103f269027b9b5997fcf24,14427,3949,4258,8207,26.457798,,,false,false
BRMGRP-20260802-483a657f74ef6f1c680c0865,RMSRD-20260802-7ad3ff8bda7358748bc0,gabriel_rating_lane_005,live,1,resp_00b15a57560d3070006a6fc5e56578819592d40ddf1a760ba9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,bba24663c797cc889a6ce87971621918fb64a125b325428ce422c103dd104f06,13392,3699,3259,6958,19.160276,,,false,false
BRMGRP-20260802-d83ef3912cbbf56a7d678e00,RMSRD-20260802-6e33c02007e049971f8a,gabriel_rating_lane_005,live,1,resp_0dc216651f6ede64006a6fc5e5671c8195b7ea80d7d0e00d26,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,fabc8cabb9433a8ce50c531360c14521cf6c1201c9ebdcdc1f2543d4870803a1,14373,3944,3906,7850,28.338671,,,false,false
BRMGRP-20260802-b98a9b47b8158fac5003afb3,RMSRD-20260802-dd17cbd73434df292f07,gabriel_rating_lane_005,live,1,resp_0bda6981b2aba35b006a6fc5e564848194b510fb12ee0b1470,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4897a5859875e11ca6a7f6850c899c1ab5daafd333d0fe8a4e042426192bf77e,14109,3822,4333,8155,27.200439,,,false,false
BRMGRP-20260802-bd364e44214a875d30f4bb04,RMSRD-20260802-6706c5311f5d1d8cdb29,gabriel_rating_lane_005,live,1,resp_0ba890b2ff1c6a07006a6fc5e56c348196aa600ca24beffbb5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2b9f9d8be24128bde8f8431e89a88244e5df6b4ef4c3eb8205ba989c45493fc8,15014,3890,3313,7203,21.975266,,,false,false
BRMGRP-20260802-9730ffef515e61201ce2f2cf,RMSRD-20260802-95822779d64619a86df2,gabriel_rating_lane_005,live,1,resp_04629afe8a2b77a0006a6fc601cc8c81958bba2fc9bdac217e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,94457fbe3a7ee13a5195121930659ada807d3f846d819b14c1724f07b28397b4,14153,3875,3574,7449,21.813861,,,false,false
