page,section,page_type,title,subtitle,native_text_characters,render_QA
26,Part IV · Final claim boundaries,standard,Claims CLAIM-C and CLAIM-D,"Compact adjudication cards preserve the exact class, defensible language, principal evidence, and prohibited wording.",2307,pass
27,Part IV · Final claim boundaries,standard,Claims CLAIM-E and CLAIM-F,"Compact adjudication cards preserve the exact class, defensible language, principal evidence, and prohibited wording.",2204,pass
28,Part IV · Final claim boundaries,standard,Claims CLAIM-G and CLAIM-H,"Compact adjudication cards preserve the exact class, defensible language, principal evidence, and prohibited wording.",2226,pass
29,Part IV · Final claim boundaries,standard,Claims UNSUP-01 and UNSUP-02,"Compact adjudication cards preserve the exact class, defensible language, principal evidence, and prohibited wording.",1420,pass
30,Part IV · Final claim boundaries,standard,Claims UNSUP-03 and UNSUP-04,"Compact adjudication cards preserve the exact class, defensible language, principal evidence, and prohibited wording.",1510,pass
31,Part IV · Final claim boundaries,standard,Claims UNSUP-05 and UNSUP-06,"Compact adjudication cards preserve the exact class, defensible language, principal evidence, and prohibited wording.",1536,pass
32,Part IV · Final claim boundaries,standard,Counterexamples and countervailing evidence,Seven retained records prevent the mechanism account from becoming a uniform safety-growth claim.,1718,pass
33,Part IV · Final claim boundaries,standard,Strict evidence and broader evidence,Broader evidence strengthened interpretation without erasing the strict baseline or upgrading any claim class.,762,pass
34,Part V · Project-wide limitations,standard,Limitations 1: Research design and scope,Each constraint is paired with what the project still accomplished and the boundary it imposes.,1166,pass
35,Part V · Project-wide limitations,standard,"Limitations 2: Verification, access, and storage",Each constraint is paired with what the project still accomplished and the boundary it imposes.,1111,pass
36,Part V · Project-wide limitations,standard,Limitations 3: Extraction volume and compaction,Each constraint is paired with what the project still accomplished and the boundary it imposes.,1174,pass
37,Part V · Project-wide limitations,standard,Limitations 4: Rating and semantic review,Each constraint is paired with what the project still accomplished and the boundary it imposes.,1264,pass
38,Part V · Project-wide limitations,standard,Limitations 5: Safety and non-safety evidence imbalance,Each constraint is paired with what the project still accomplished and the boundary it imposes.,1132,pass
39,Part V · Project-wide limitations,standard,Limitations 6: Locality and visual grouping,Each constraint is paired with what the project still accomplished and the boundary it imposes.,1180,pass
40,Part V · Project-wide limitations,standard,"What worked, what did not, and what remains possible",The limits narrow the claims; they do not erase the project’s traceable evidence and reusable infrastructure.,846,pass
41,Part VI · Methodology and project history,standard,Full project workflow,"I directed the research question, evidence standards, analytical priorities, and final judgment. The workflow moved from discovery through claim adjudication without treating raw extraction volume as proof.",1043,pass
42,Part VI · Methodology and project history,standard,From a continuing log to relay packages,"The project began with a continuing PROGRESS.md record. Relay ZIPs later carried commits, validation, decisions, blockers, uncertainties, and the next bounded task between ChatGPT and Codex.",778,pass
43,Part VI · Methodology and project history,standard,Human and AI roles; tools by stage,"Human direction, AI orchestration, local execution, and documentary scoring had distinct roles. The later external administrative layer used deterministic local processing and bounded semantic AI review.",1419,pass
44,Part VI · Methodology and project history,standard,"Codex execution, worktrees, and staggered lanes","Large tasks were divided into disjoint portions with lane-owned files, staggered starts, frequent checkpoints, resume-only-incomplete logic, and a coordinator merge. Worktrees were useful in some pilots but added coordination and merge burden.",1270,pass
45,Part VI · Methodology and project history,standard,Representative scaling milestones,The workflow scaled from small pilots to thousands of municipalities and millions of extracted records. Representative milestones show the change without turning the atlas into a task log.,928,pass
46,Part VI · Methodology and project history,standard,Failures and repairs: evidence pipeline,"The workflow was not linear. Search, storage, checkpoint, and parser failures were diagnosed while preserving accepted work and source lineage.",755,pass
47,Part VI · Methodology and project history,standard,Failures and repairs: analysis and publication,"Later failures affected lookup performance, coordination, strict matching, deployment, and inventory scale. Repairs remained bounded to affected outputs.",792,pass
48,Part VI · Methodology and project history,standard,Evidence tiers remained separate,"I kept the strict result and added broader bounded and directional layers. Five claims strengthened within class, one became more mixed, eight were unchanged, and none upgraded class.",874,pass
49,Appendix · Mechanism categories,standard,Reader-facing categories 1–4,Category counts and Alaska status are preserved beneath the integrated profiles.,1420,pass
50,Appendix · Mechanism categories,standard,Reader-facing categories 5–8,Category counts and Alaska status are preserved beneath the integrated profiles.,1410,pass
51,Appendix · Mechanism categories,standard,Reader-facing categories 9–12,Category counts and Alaska status are preserved beneath the integrated profiles.,1339,pass
52,Appendix · Mechanism categories,standard,Reader-facing categories 13–16,Category counts and Alaska status are preserved beneath the integrated profiles.,1337,pass
53,Appendix · Mechanism categories,standard,Reader-facing categories 17–20,Category counts and Alaska status are preserved beneath the integrated profiles.,1311,pass
54,Appendix · Mechanism categories,standard,Reader-facing categories 21–24,Category counts and Alaska status are preserved beneath the integrated profiles.,1241,pass
55,Appendix · Mechanism categories,standard,Reader-facing categories 25–28,Category counts and Alaska status are preserved beneath the integrated profiles.,1289,pass
56,Appendix · Mechanism categories,standard,Reader-facing categories 29–32,Category counts and Alaska status are preserved beneath the integrated profiles.,1313,pass
57,Appendix · Mechanism categories,standard,Reader-facing categories 33–35,Category counts and Alaska status are preserved beneath the integrated profiles.,1033,pass
58,Appendix,standard,Unclassified or no direct compensation outcome,"These categories describe evidence status, not reader-facing wage-setting processes.",1018,pass
59,Appendix,standard,Technical counts and analytical boundaries,Counts with different units remain separate.,1178,pass
60,Appendix,standard,Source and method notes,The atlas is a reader-facing summary; project documentation preserves exact lineage and reconstruction instructions.,1201,pass
