selection_id,claim_id,claim_section,example_id,source_record_id,municipality,state,source_family,side_label,mechanism_class,bounded_evidence_summary,bounded_source_text,why_selected,claim_boundary,source_pointer,source_lineage
REPORT-CLAIM-C-03,CLAIM-C,Claim 3: Non-Base Compensation,WCCPEX-0dcc3e5a0b0284b2a1fba088,BRMSAMESIDEQA-108b15c6f4c19de8caefb44c,Tinicum,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_safety_direct,non_base_compensation,"Tinicum, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.","Tinicum, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-00d4584dfc5c7bc9c8ab9726,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-00d4584dfc5c7bc9c8ab9726
REPORT-CLAIM-C-04,CLAIM-C,Claim 3: Non-Base Compensation,WCCPEX-a443067e1aa2cb1c4e72dce3,WCM-00e4cf7635c260c4072a5eb6,Orchard Lake Village,MI,wage_schedule,police_direct,non_base_compensation,"Orchard Lake Village, MI: a wage_schedule record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.","Orchard Lake Village, MI: a wage_schedule record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://cityoforchardlake.community.diligentoneplatform.com/document/0af5d23b-cfb0-48cc-b58f-bf7694d1bbe3
REPORT-CLAIM-D-01,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",WCCPEX-cfdab14887d017045b0994c6,WCM-bd62a36deb15fdc3fd897176,Woodstock,NY,wage_schedule,police_direct,comparability_parity,"Woodstock, NY: a wage_schedule record codes comparability parity for police_direct; the package preserves the bounded evidence pointer and source lineage.","percent (3%) retroactive to on January 1, 2025, three percent (3%) plus a $1.00 market adjustment",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-d3e4279dfecad4d9ef70b8b0,"{""candidate_id"": ""BRM5C-BRM5-20260731-18066-01"", ""final"": ""https://woodstockny.gov/application/files/5817/6796/9507/Tentative_Police_Agreement_2025_2029.pdf"", ""original"": ""https://woodstockny.gov/application/files/5817/6796/9507/Tentative_Police_Agreement_2025_2029.pdf"", ""scout_target_id"": ""BRM5-20260731-18066""}"
REPORT-CLAIM-D-02,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",WCCPEX-84fda55ff83131f374bb944f,WCM-1ee742c8ba136c663bc89ab7,Wrightstown,WI,budget_or_pay_plan,non_safety_direct,comparability_parity,"Wrightstown, WI: a budget_or_pay_plan record codes comparability parity for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.","• Assessor- $1,311.36 increase – market adjustment for 2025",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-277f81003aef39b534f07f42,"{""candidate_id"": ""BRM5C-BRM5-20260731-02885-01"", ""final"": ""https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5174/VOW/6147418/2026_BUDGET_OVERVIEW_Final_Approved.pdf"", ""original"": ""https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5174/VOW/6147418/2026_BUDGET_OVERVIEW_Final_Approved.pdf"", ""scout_target_id"": ""BRM5-20260731-02885""}"
REPORT-CLAIM-D-03,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",WCCPEX-d3eac42001c04968dd51fd2f,WCM-c091ca2ec40feaeda493f102,Plymouth,WI,wage_schedule,fire_direct,comparability_parity,"Plymouth, WI: a wage_schedule record codes comparability parity for fire_direct; the package preserves the bounded evidence pointer and source lineage.","remains competitive, and maintain a strong position relative to comparable municipalities",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-9df3b16e6029358eb5eceabf,"{""candidate_id"": ""BRM5C-BRM5-20260731-17764-03"", ""final"": ""https://plymouthwi.gov/AgendaCenter/ViewFile/Agenda/_03102026-309"", ""original"": ""https://www.plymouthwi.gov/AgendaCenter/ViewFile/Agenda/_03102026-309"", ""scout_target_id"": ""BRM5-20260731-17764""}"
REPORT-CLAIM-D-04,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",WCCPEX-80dbbcb3f4d246dc7abfaaef,WCM-04e55c26cb92f005699651ae,Ontario,NY,civil_service_or_hr_pay_plan,non_safety_direct,market_recruitment_retention,"Ontario, NY: a civil_service_or_hr_pay_plan record codes market recruitment retention for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",provide additional base wage increases for all the bargaining unit members as set forth more,Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-dd31421eb11e3cbfef1a6f35,"{""candidate_id"": ""BRM5C-BRM5-20260731-17994-01"", ""final"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf"", ""original"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf"", ""scout_target_id"": ""BRM5-20260731-17994""}"
REPORT-CLAIM-E-01,CLAIM-E,Claim 5: Retroactivity and Implementation,WCCPEX-d2fabc32027cdf0d9f2d46df,WCM-011e3b99eae1634ebb2b3209,Flint charter,MI,cba,police_direct,retroactivity_implementation,"Flint charter, MI: a cba record codes retroactivity implementation for police_direct; the package preserves the bounded evidence pointer and source lineage.","Flint charter, MI: a cba record codes retroactivity implementation for police_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://sanweb.lib.msu.edu/LIR/contracts/c4842.pdf
REPORT-CLAIM-E-02,CLAIM-E,Claim 5: Retroactivity and Implementation,WCCPEX-50ce521ead120927aeb6428f,WCM-07320828baa6abf5cfd3efa9,Big Bear Lake,CA,mou_or_memorandum,non_safety_direct,retroactivity_implementation,"Big Bear Lake, CA: a mou_or_memorandum record codes retroactivity implementation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.","Big Bear Lake, CA: a mou_or_memorandum record codes retroactivity implementation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://teamsters1932.org/app/uploads/2023/10/BBL-MOU-7-1-23-to-6-30-26.pdf
REPORT-CLAIM-E-03,CLAIM-E,Claim 5: Retroactivity and Implementation,WCCPEX-74306cd723a39a8fdecaf5dd,WCM-031cd2f4bfe82508166c8fd4,Lancaster,NY,arbitration_award,police_direct,retroactivity_implementation,"Lancaster, NY: a arbitration_award record codes retroactivity implementation for police_direct; the package preserves the bounded evidence pointer and source lineage.","Lancaster, NY: a arbitration_award record codes retroactivity implementation for police_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://perb.ny.gov/system/files/documents/2024/03/ia83-014-award-9-2-83.pdf
REPORT-CLAIM-F-01,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",WCCPEX-84d60d648789abeaa588e12c,WCM-1bc6d229b4c31bb7d94b1b48,Washington,PA,agenda_packet_or_minutes,police_direct,ordinance_council_adoption,"Washington, PA: a agenda_packet_or_minutes record codes ordinance council adoption for police_direct; the package preserves the bounded evidence pointer and source lineage.","Motion was made by Councilman Manning, seconded by Councilman Westcott, and unanimously carried, to approve the retirement of City of Washington Police Lieutenant, Roy Loeffert, effective march 13, 2020, pay all monies due, and amend the salary ordinance accordingly.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-15c337c586fb98bb0ab78a0c,"{""candidate_id"": ""BRM5C-BRM5-20260731-14711-02"", ""final"": ""https://washingtonpa.us/council-meeting-minutes-april-2-2020"", ""original"": ""https://washingtonpa.us/council-meeting-minutes-april-2-2020/"", ""scout_target_id"": ""BRM5-20260731-14711""}"
REPORT-CLAIM-F-02,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",WCCPEX-691b60a557d81d806bb055be,WCM-5c9345bfec4c446c7822923f,Worthington,OH,arbitration_award,fire_direct,ordinance_council_adoption,"Worthington, OH: a arbitration_award record codes ordinance council adoption for fire_direct; the package preserves the bounded evidence pointer and source lineage.","WHEREAS, the City Manager has requested City Council to approve the provisions of said collective bargaining agreement following ratification of same by Local #3498;",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-0b4be36369b60bc235a90e48,"{""candidate_id"": ""BRM5C-BRM5-20260731-02471-02"", ""final"": ""https://worthington.org/Archive/ViewFile/Item/5984"", ""original"": ""https://www.worthington.org/Archive/ViewFile/Item/5984"", ""scout_target_id"": ""BRM5-20260731-02471""}"
REPORT-CLAIM-F-03,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",WCCPEX-9484c5ee48320bc2c57fca84,WCM-02fc98da197b23e26981bbb5,Hanover,OH,wage_schedule,non_safety_direct,budget_fiscal_constraint,"Hanover, OH: a wage_schedule record codes budget fiscal constraint for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.","Ordinance 35-2024 An Ordinance appointing and setting a stipend for a Wastewater Billing Clerk on behalf of the Village of Hanover,",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-66a32a02a06a74571e6fc7ed,"{""candidate_id"": ""BRM5C-BRM5-20260731-09759-01"", ""final"": ""https://hanoverohio.net/wp-content/uploads/2024/12/2024-11-13-VOH-Council-Meeting-Minutes-Nov-13-2024.pdf"", ""original"": ""https://hanoverohio.net/wp-content/uploads/2024/12/2024-11-13-VOH-Council-Meeting-Minutes-Nov-13-2024.pdf"", ""scout_target_id"": ""BRM5-20260731-09759""}"
REPORT-CLAIM-F-04,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",WCCPEX-933bd132de7fd3ba9fe55c6f,WCM-5f4a3d4f2d386d3ba1b5c6e5,Dover,OH,cba,fire_direct,ordinance_council_adoption,"Dover, OH: a cba record codes ordinance council adoption for fire_direct; the package preserves the bounded evidence pointer and source lineage.",require the approval of the City Council and that the provisions of this Agreement shall not be effective until approved by the City Council and prior approval by the employees,Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-2a31a9c8b1d1182f40815245,"{""candidate_id"": ""BRM5C-BRM5-20260731-02243-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-11-1328.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-11-1328.pdf"", ""scout_target_id"": ""BRM5-20260731-02243""}"
REPORT-CLAIM-G-01,CLAIM-G,Claim 7: Non-Safety Counterweights,WCCPEX-fa637add09963a080b3734e2,WCM-32ae0dd7404b0c8533e9afea,Bruceville-Eddy,TX,budget_or_pay_plan,non_safety_direct,cola_cpi_indexing,"Bruceville-Eddy, TX: a budget_or_pay_plan record codes cola cpi indexing for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for our Public Works,Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-f7d15ac611bb5130584cd0ad,"{""candidate_id"": ""BRM5C-BRM5-20260731-14840-04"", ""final"": ""https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf"", ""original"": ""https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf"", ""scout_target_id"": ""BRM5-20260731-14840""}"
REPORT-CLAIM-G-02,CLAIM-G,Claim 7: Non-Safety Counterweights,WCCPEX-84fda55ff83131f374bb944f,WCM-1ee742c8ba136c663bc89ab7,Wrightstown,WI,budget_or_pay_plan,non_safety_direct,comparability_parity,"Wrightstown, WI: a budget_or_pay_plan record codes comparability parity for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.","• Assessor- $1,311.36 increase – market adjustment for 2025",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-277f81003aef39b534f07f42,"{""candidate_id"": ""BRM5C-BRM5-20260731-02885-01"", ""final"": ""https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5174/VOW/6147418/2026_BUDGET_OVERVIEW_Final_Approved.pdf"", ""original"": ""https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5174/VOW/6147418/2026_BUDGET_OVERVIEW_Final_Approved.pdf"", ""scout_target_id"": ""BRM5-20260731-02885""}"
REPORT-CLAIM-G-03,CLAIM-G,Claim 7: Non-Safety Counterweights,WCCPEX-80dbbcb3f4d246dc7abfaaef,WCM-04e55c26cb92f005699651ae,Ontario,NY,civil_service_or_hr_pay_plan,non_safety_direct,market_recruitment_retention,"Ontario, NY: a civil_service_or_hr_pay_plan record codes market recruitment retention for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",provide additional base wage increases for all the bargaining unit members as set forth more,Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-dd31421eb11e3cbfef1a6f35,"{""candidate_id"": ""BRM5C-BRM5-20260731-17994-01"", ""final"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf"", ""original"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf"", ""scout_target_id"": ""BRM5-20260731-17994""}"
REPORT-CLAIM-G-04,CLAIM-G,Claim 7: Non-Safety Counterweights,WCCPEX-50ce521ead120927aeb6428f,WCM-07320828baa6abf5cfd3efa9,Big Bear Lake,CA,mou_or_memorandum,non_safety_direct,retroactivity_implementation,"Big Bear Lake, CA: a mou_or_memorandum record codes retroactivity implementation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.","Big Bear Lake, CA: a mou_or_memorandum record codes retroactivity implementation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://teamsters1932.org/app/uploads/2023/10/BBL-MOU-7-1-23-to-6-30-26.pdf
